candidate_id,family,symbol,failed_layer,lookback,entry_z,periods_per_year,observation_count,trade_count,position_change_count,total_trading_sides,average_absolute_exposure,long_exposure_fraction,short_exposure_fraction,flat_fraction,total_transaction_cost,total_spread_cost,total_commission_cost,gross_total_return,gross_annual_return,gross_annual_volatility,gross_sharpe,gross_max_drawdown,gross_calmar,net_total_return,net_annual_return,net_annual_volatility,net_sharpe,net_max_drawdown,net_calmar,cost_to_gross_profit_ratio,trade_win_rate,average_net_trade_return,median_net_trade_return,average_holding_hours,maximum_holding_hours,fast_window,slow_window,oos_net_sharpe,oos_trade_count,layer1_pass,layer1_failure_reason,walkforward_net_sharpe,walkforward_positive_window_fraction,layer2_pass,layer2_failure_reason,synthetic_net_max_drawdown,synthetic_terminal_nav,layer3_pass,layer3_failure_reason,permutation_p_value,bootstrap_drawdown_p95,dsr_probability,layer4_pass,layer4_failure_reason
trend__XAUUSD__fast_window-12__slow_window-120,trend,XAUUSD,layer4,,,6034.565217391305,38760,572,572,1143.0,0.9969040247678018,0.5704334365325078,0.4264705882352941,0.0030959752321981,0.1079530692594086,0.0508030692594086,0.05715,1.2775425380457208,0.1367217004611507,0.1781047694268613,0.8086018585026055,-0.2014878252395197,0.6785606043373693,1.044484403289574,0.1177764590595606,0.1781050159360013,0.7142335411796679,-0.2060101704597241,0.5717021581834305,0.0038241254056823,0.2465034965034965,0.0014148802340469,-0.0037132868463243,97.43706293706292,768.0,12.0,120.0,1.083768495813735,204,True,,0.8142958758681454,0.75,True,,-0.2946688052496755,2.716665564723848,True,,0.0529735132433783,0.3677845763271484,0.3253630655357242,False,permutation_p_value;deflated_sharpe_probability
trend__XAUUSD__fast_window-12__slow_window-72,trend,XAUUSD,layer4,,,6034.565217391305,38760,764,764,1527.0,0.9981424148606812,0.557172342621259,0.4409700722394221,0.0018575851393188,0.140541549696449,0.064191549696449,0.07635,1.0213196771113884,0.115795171965132,0.1782996497755396,0.7037026609094177,-0.2714854121198811,0.4265244716500634,0.7562497213836472,0.0916408212535848,0.1783261107886991,0.580896135586641,-0.2768913368584554,0.330963121827213,0.0049803803026028,0.2787958115183246,0.0008564863729995,-0.0034337290714228,73.1413612565445,632.0,12.0,72.0,0.607369046956362,297,True,,0.695570202820805,0.625,True,,-0.3885653131383345,2.1687718507060025,True,,0.0844577711144427,0.4139590213968461,0.2147561873791089,False,permutation_p_value;bootstrap_drawdown_p95;deflated_sharpe_probability
trend__XAUUSD__fast_window-24__slow_window-120,trend,XAUUSD,layer4,,,6034.565217391305,38760,420,420,839.0,0.9969040247678018,0.5684468524251806,0.4284571723426212,0.0030959752321981,0.0826258040079646,0.0406758040079646,0.04195,0.8809718441821541,0.1033637889347167,0.1781083477251162,0.6413607984023203,-0.227890557402589,0.4535676691163443,0.7317711286894268,0.089257887094027,0.1781250796372416,0.5690813247775517,-0.2328025790222817,0.3834059204536737,0.0029368845586356,0.2833333333333333,0.001508635542213,-0.0045435667336977,133.27380952380952,769.0,24.0,120.0,0.9801013909966568,150,True,,0.9131052523140116,0.875,True,,-0.3362608361719469,2.1124093689006433,True,,0.0974512743628185,0.390529739646072,0.2061450995218693,False,permutation_p_value;deflated_sharpe_probability
trend__XAUUSD__fast_window-24__slow_window-72,trend,XAUUSD,layer4,,,6034.565217391305,38760,524,524,1047.0,0.9981424148606812,0.5585139318885449,0.4396284829721362,0.0018575851393188,0.0989810748065083,0.0466310748065083,0.05235,1.1664908179329392,0.1279092666368988,0.1782983360875863,0.7642821195194845,-0.1941005888830078,0.6589844336535983,0.962322845022996,0.1106611736907288,0.1782987494276148,0.6778500348543828,-0.1995266294514979,0.5546185689345741,0.0035032929378026,0.2938931297709923,0.0014453132708892,-0.0042453177002794,106.54961832061068,645.0,24.0,72.0,0.8558179216892138,203,True,,0.7801839283216634,0.5,True,,-0.2854501551152711,2.553234970683306,True,,0.0629685157421289,0.3620219357315732,0.2926891744625123,False,permutation_p_value;deflated_sharpe_probability
