symbol,asset_class,currency,exchange,tick_size,expected_session,row_count,rows_after_cleaning,start_timestamp,end_timestamp,duplicate_timestamp_rows,invalid_ohlc_count,extreme_return_count,extreme_range_count,unexpected_gap_count,largest_time_gap_minutes
USDJPY,fx,JPY,IDEALPRO,0.001,24/5,41302,41302,2020-01-02T00:00:00+00:00,2026-08-21T07:00:00+00:00,0,0,4,11,9,4560.0
EURUSD,fx,USD,IDEALPRO,0.001,24/5,41302,41302,2020-01-02T00:00:00+00:00,2026-08-21T07:00:00+00:00,0,0,0,1,9,4560.0
GBPUSD,fx,USD,IDEALPRO,0.001,24/5,41302,41302,2020-01-02T00:00:00+00:00,2026-08-21T07:00:00+00:00,0,0,1,7,9,4560.0
AUDUSD,fx,USD,IDEALPRO,0.001,24/5,41302,41302,2020-01-02T00:00:00+00:00,2026-08-21T07:00:00+00:00,0,0,3,13,9,4560.0
XAUUSD,commodity,USD,SMART,0.001,24/5,39233,39233,2020-01-02T00:00:00+00:00,2026-08-21T07:00:00+00:00,0,0,21,108,1390,4620.0
XAGUSD,commodity,USD,SMART,0.001,24/5,39233,39233,2020-01-02T00:00:00+00:00,2026-08-21T07:00:00+00:00,0,0,299,1109,1390,4620.0
VOD,equity,GBP,SMART,0.01,broker_defined,15037,15037,2020-01-02T08:00:00+00:00,2026-08-21T07:00:00+00:00,0,0,54,355,1676,6960.0
SAP,equity,EUR,SMART,0.01,broker_defined,15193,15193,2020-01-02T08:00:00+00:00,2026-08-21T07:00:00+00:00,0,0,48,430,1690,8160.0
