2026-09-11 04:15:54 | INFO     | src.pipelines.alpha_factory.pipeline | Logging to /Users/milanpeter/Developer/Systematic-Trading-Pipeline/logs/alpha_factory/20260911_041554.log
2026-09-11 04:15:54 | INFO     | src.pipelines.alpha_factory.pipeline | ========================================================================
2026-09-11 04:15:54 | INFO     | src.pipelines.alpha_factory.pipeline | ALPHA FACTORY PIPELINE
2026-09-11 04:15:54 | INFO     | src.pipelines.alpha_factory.pipeline | ========================================================================
2026-09-11 04:15:54 | INFO     | src.pipelines.alpha_factory.pipeline | [1/6] Screening for cointegrated pairs...
2026-09-11 04:18:04 | INFO     | src.pipelines.alpha_factory.pipeline | Found 2 cointegrated pair(s): ['AUDUSD_VOD', 'XAGUSD_XAUUSD']
2026-09-11 04:18:04 | INFO     | src.pipelines.alpha_factory.pipeline | [2/6] Generating strategy candidates...
2026-09-11 04:18:04 | INFO     | src.pipelines.alpha_factory.pipeline | Generated 2634 official candidates.
2026-09-11 04:18:04 | INFO     | src.pipelines.alpha_factory.pipeline | 1532 of 2634 candidates due for testing this run (1102 still within their 30-day cooldown).
2026-09-11 04:18:04 | INFO     | src.pipelines.alpha_factory.pipeline | [3/6] Running candidate backtests (batch 1/16, 100 candidates)...
