2026-09-10 22:43:52 | INFO     | src.pipelines.alpha_factory.pipeline | Logging to /Users/milanpeter/Developer/Systematic-Trading-Pipeline/logs/alpha_factory/20260910_224352.log
2026-09-10 22:43:52 | INFO     | src.pipelines.alpha_factory.pipeline | ========================================================================
2026-09-10 22:43:52 | INFO     | src.pipelines.alpha_factory.pipeline | ALPHA FACTORY PIPELINE
2026-09-10 22:43:52 | INFO     | src.pipelines.alpha_factory.pipeline | ========================================================================
2026-09-10 22:43:52 | INFO     | src.pipelines.alpha_factory.pipeline | [1/6] Screening for cointegrated pairs...
2026-09-10 22:46:04 | INFO     | src.pipelines.alpha_factory.pipeline | Found 2 cointegrated pair(s): ['AUDUSD_VOD', 'XAGUSD_XAUUSD']
2026-09-10 22:46:04 | INFO     | src.pipelines.alpha_factory.pipeline | [2/6] Generating strategy candidates...
2026-09-10 22:46:04 | INFO     | src.pipelines.alpha_factory.pipeline | Generated 2634 official candidates.
2026-09-10 22:46:04 | INFO     | src.pipelines.alpha_factory.pipeline | 1532 of 2634 candidates due for testing this run (1102 still within their 30-day cooldown).
2026-09-10 22:46:04 | INFO     | src.pipelines.alpha_factory.pipeline | [3/6] Running candidate backtests (batch 1/16, 100 candidates)...
