candidate_id,family,symbol,lookback,return_threshold,volume_ratio
momentum_volume_confirmed__EURUSD__lookback-48__return_threshold-0__volume_ratio-2,momentum_volume_confirmed,EURUSD,48,0.0,2.0
momentum_volume_confirmed__EURUSD__lookback-48__return_threshold-0p01__volume_ratio-1,momentum_volume_confirmed,EURUSD,48,0.01,1.0
momentum_volume_confirmed__EURUSD__lookback-48__return_threshold-0p01__volume_ratio-1p5,momentum_volume_confirmed,EURUSD,48,0.01,1.5
momentum_volume_confirmed__EURUSD__lookback-48__return_threshold-0p01__volume_ratio-2,momentum_volume_confirmed,EURUSD,48,0.01,2.0
momentum_volume_confirmed__EURUSD__lookback-48__return_threshold-0p02__volume_ratio-1,momentum_volume_confirmed,EURUSD,48,0.02,1.0
momentum_volume_confirmed__EURUSD__lookback-48__return_threshold-0p02__volume_ratio-1p5,momentum_volume_confirmed,EURUSD,48,0.02,1.5
momentum_volume_confirmed__EURUSD__lookback-48__return_threshold-0p02__volume_ratio-2,momentum_volume_confirmed,EURUSD,48,0.02,2.0
momentum_volume_confirmed__EURUSD__lookback-96__return_threshold-0__volume_ratio-1,momentum_volume_confirmed,EURUSD,96,0.0,1.0
momentum_volume_confirmed__EURUSD__lookback-96__return_threshold-0__volume_ratio-1p5,momentum_volume_confirmed,EURUSD,96,0.0,1.5
momentum_volume_confirmed__EURUSD__lookback-96__return_threshold-0__volume_ratio-2,momentum_volume_confirmed,EURUSD,96,0.0,2.0
momentum_volume_confirmed__EURUSD__lookback-96__return_threshold-0p01__volume_ratio-1,momentum_volume_confirmed,EURUSD,96,0.01,1.0
momentum_volume_confirmed__EURUSD__lookback-96__return_threshold-0p01__volume_ratio-1p5,momentum_volume_confirmed,EURUSD,96,0.01,1.5
momentum_volume_confirmed__EURUSD__lookback-96__return_threshold-0p01__volume_ratio-2,momentum_volume_confirmed,EURUSD,96,0.01,2.0
momentum_volume_confirmed__EURUSD__lookback-96__return_threshold-0p02__volume_ratio-1,momentum_volume_confirmed,EURUSD,96,0.02,1.0
momentum_volume_confirmed__EURUSD__lookback-96__return_threshold-0p02__volume_ratio-1p5,momentum_volume_confirmed,EURUSD,96,0.02,1.5
momentum_volume_confirmed__EURUSD__lookback-96__return_threshold-0p02__volume_ratio-2,momentum_volume_confirmed,EURUSD,96,0.02,2.0
momentum_volume_confirmed__GBPUSD__lookback-24__return_threshold-0__volume_ratio-1,momentum_volume_confirmed,GBPUSD,24,0.0,1.0
momentum_volume_confirmed__GBPUSD__lookback-24__return_threshold-0__volume_ratio-1p5,momentum_volume_confirmed,GBPUSD,24,0.0,1.5
momentum_volume_confirmed__GBPUSD__lookback-24__return_threshold-0__volume_ratio-2,momentum_volume_confirmed,GBPUSD,24,0.0,2.0
momentum_volume_confirmed__GBPUSD__lookback-24__return_threshold-0p01__volume_ratio-1,momentum_volume_confirmed,GBPUSD,24,0.01,1.0
momentum_volume_confirmed__GBPUSD__lookback-24__return_threshold-0p01__volume_ratio-1p5,momentum_volume_confirmed,GBPUSD,24,0.01,1.5
momentum_volume_confirmed__GBPUSD__lookback-24__return_threshold-0p01__volume_ratio-2,momentum_volume_confirmed,GBPUSD,24,0.01,2.0
momentum_volume_confirmed__GBPUSD__lookback-24__return_threshold-0p02__volume_ratio-1,momentum_volume_confirmed,GBPUSD,24,0.02,1.0
momentum_volume_confirmed__GBPUSD__lookback-24__return_threshold-0p02__volume_ratio-1p5,momentum_volume_confirmed,GBPUSD,24,0.02,1.5
momentum_volume_confirmed__GBPUSD__lookback-24__return_threshold-0p02__volume_ratio-2,momentum_volume_confirmed,GBPUSD,24,0.02,2.0
momentum_volume_confirmed__GBPUSD__lookback-48__return_threshold-0__volume_ratio-1,momentum_volume_confirmed,GBPUSD,48,0.0,1.0
momentum_volume_confirmed__GBPUSD__lookback-48__return_threshold-0__volume_ratio-1p5,momentum_volume_confirmed,GBPUSD,48,0.0,1.5
momentum_volume_confirmed__GBPUSD__lookback-48__return_threshold-0__volume_ratio-2,momentum_volume_confirmed,GBPUSD,48,0.0,2.0
momentum_volume_confirmed__GBPUSD__lookback-48__return_threshold-0p01__volume_ratio-1,momentum_volume_confirmed,GBPUSD,48,0.01,1.0
momentum_volume_confirmed__GBPUSD__lookback-48__return_threshold-0p01__volume_ratio-1p5,momentum_volume_confirmed,GBPUSD,48,0.01,1.5
momentum_volume_confirmed__GBPUSD__lookback-48__return_threshold-0p01__volume_ratio-2,momentum_volume_confirmed,GBPUSD,48,0.01,2.0
momentum_volume_confirmed__GBPUSD__lookback-48__return_threshold-0p02__volume_ratio-1,momentum_volume_confirmed,GBPUSD,48,0.02,1.0
momentum_volume_confirmed__GBPUSD__lookback-48__return_threshold-0p02__volume_ratio-1p5,momentum_volume_confirmed,GBPUSD,48,0.02,1.5
momentum_volume_confirmed__GBPUSD__lookback-48__return_threshold-0p02__volume_ratio-2,momentum_volume_confirmed,GBPUSD,48,0.02,2.0
momentum_volume_confirmed__GBPUSD__lookback-96__return_threshold-0__volume_ratio-1,momentum_volume_confirmed,GBPUSD,96,0.0,1.0
momentum_volume_confirmed__GBPUSD__lookback-96__return_threshold-0__volume_ratio-1p5,momentum_volume_confirmed,GBPUSD,96,0.0,1.5
momentum_volume_confirmed__GBPUSD__lookback-96__return_threshold-0__volume_ratio-2,momentum_volume_confirmed,GBPUSD,96,0.0,2.0
momentum_volume_confirmed__GBPUSD__lookback-96__return_threshold-0p01__volume_ratio-1,momentum_volume_confirmed,GBPUSD,96,0.01,1.0
momentum_volume_confirmed__GBPUSD__lookback-96__return_threshold-0p01__volume_ratio-1p5,momentum_volume_confirmed,GBPUSD,96,0.01,1.5
momentum_volume_confirmed__GBPUSD__lookback-96__return_threshold-0p01__volume_ratio-2,momentum_volume_confirmed,GBPUSD,96,0.01,2.0
momentum_volume_confirmed__GBPUSD__lookback-96__return_threshold-0p02__volume_ratio-1,momentum_volume_confirmed,GBPUSD,96,0.02,1.0
momentum_volume_confirmed__GBPUSD__lookback-96__return_threshold-0p02__volume_ratio-1p5,momentum_volume_confirmed,GBPUSD,96,0.02,1.5
momentum_volume_confirmed__GBPUSD__lookback-96__return_threshold-0p02__volume_ratio-2,momentum_volume_confirmed,GBPUSD,96,0.02,2.0
momentum_volume_confirmed__SAP__lookback-24__return_threshold-0__volume_ratio-1,momentum_volume_confirmed,SAP,24,0.0,1.0
momentum_volume_confirmed__SAP__lookback-24__return_threshold-0__volume_ratio-1p5,momentum_volume_confirmed,SAP,24,0.0,1.5
momentum_volume_confirmed__SAP__lookback-24__return_threshold-0__volume_ratio-2,momentum_volume_confirmed,SAP,24,0.0,2.0
momentum_volume_confirmed__SAP__lookback-24__return_threshold-0p01__volume_ratio-1,momentum_volume_confirmed,SAP,24,0.01,1.0
momentum_volume_confirmed__SAP__lookback-24__return_threshold-0p01__volume_ratio-1p5,momentum_volume_confirmed,SAP,24,0.01,1.5
momentum_volume_confirmed__SAP__lookback-24__return_threshold-0p01__volume_ratio-2,momentum_volume_confirmed,SAP,24,0.01,2.0
momentum_volume_confirmed__SAP__lookback-24__return_threshold-0p02__volume_ratio-1,momentum_volume_confirmed,SAP,24,0.02,1.0
momentum_volume_confirmed__SAP__lookback-24__return_threshold-0p02__volume_ratio-1p5,momentum_volume_confirmed,SAP,24,0.02,1.5
momentum_volume_confirmed__SAP__lookback-24__return_threshold-0p02__volume_ratio-2,momentum_volume_confirmed,SAP,24,0.02,2.0
momentum_volume_confirmed__SAP__lookback-48__return_threshold-0__volume_ratio-1,momentum_volume_confirmed,SAP,48,0.0,1.0
momentum_volume_confirmed__SAP__lookback-48__return_threshold-0__volume_ratio-1p5,momentum_volume_confirmed,SAP,48,0.0,1.5
momentum_volume_confirmed__SAP__lookback-48__return_threshold-0__volume_ratio-2,momentum_volume_confirmed,SAP,48,0.0,2.0
momentum_volume_confirmed__SAP__lookback-48__return_threshold-0p01__volume_ratio-1,momentum_volume_confirmed,SAP,48,0.01,1.0
momentum_volume_confirmed__SAP__lookback-48__return_threshold-0p01__volume_ratio-1p5,momentum_volume_confirmed,SAP,48,0.01,1.5
momentum_volume_confirmed__SAP__lookback-48__return_threshold-0p01__volume_ratio-2,momentum_volume_confirmed,SAP,48,0.01,2.0
momentum_volume_confirmed__SAP__lookback-48__return_threshold-0p02__volume_ratio-1,momentum_volume_confirmed,SAP,48,0.02,1.0
momentum_volume_confirmed__SAP__lookback-48__return_threshold-0p02__volume_ratio-1p5,momentum_volume_confirmed,SAP,48,0.02,1.5
momentum_volume_confirmed__SAP__lookback-48__return_threshold-0p02__volume_ratio-2,momentum_volume_confirmed,SAP,48,0.02,2.0
momentum_volume_confirmed__SAP__lookback-96__return_threshold-0__volume_ratio-1,momentum_volume_confirmed,SAP,96,0.0,1.0
momentum_volume_confirmed__SAP__lookback-96__return_threshold-0__volume_ratio-1p5,momentum_volume_confirmed,SAP,96,0.0,1.5
momentum_volume_confirmed__SAP__lookback-96__return_threshold-0__volume_ratio-2,momentum_volume_confirmed,SAP,96,0.0,2.0
momentum_volume_confirmed__SAP__lookback-96__return_threshold-0p01__volume_ratio-1,momentum_volume_confirmed,SAP,96,0.01,1.0
momentum_volume_confirmed__SAP__lookback-96__return_threshold-0p01__volume_ratio-1p5,momentum_volume_confirmed,SAP,96,0.01,1.5
momentum_volume_confirmed__SAP__lookback-96__return_threshold-0p01__volume_ratio-2,momentum_volume_confirmed,SAP,96,0.01,2.0
momentum_volume_confirmed__SAP__lookback-96__return_threshold-0p02__volume_ratio-1,momentum_volume_confirmed,SAP,96,0.02,1.0
momentum_volume_confirmed__SAP__lookback-96__return_threshold-0p02__volume_ratio-1p5,momentum_volume_confirmed,SAP,96,0.02,1.5
momentum_volume_confirmed__SAP__lookback-96__return_threshold-0p02__volume_ratio-2,momentum_volume_confirmed,SAP,96,0.02,2.0
momentum_volume_confirmed__USDJPY__lookback-24__return_threshold-0__volume_ratio-1,momentum_volume_confirmed,USDJPY,24,0.0,1.0
momentum_volume_confirmed__USDJPY__lookback-24__return_threshold-0__volume_ratio-1p5,momentum_volume_confirmed,USDJPY,24,0.0,1.5
momentum_volume_confirmed__USDJPY__lookback-24__return_threshold-0__volume_ratio-2,momentum_volume_confirmed,USDJPY,24,0.0,2.0
momentum_volume_confirmed__USDJPY__lookback-24__return_threshold-0p01__volume_ratio-1,momentum_volume_confirmed,USDJPY,24,0.01,1.0
momentum_volume_confirmed__USDJPY__lookback-24__return_threshold-0p01__volume_ratio-1p5,momentum_volume_confirmed,USDJPY,24,0.01,1.5
momentum_volume_confirmed__USDJPY__lookback-24__return_threshold-0p01__volume_ratio-2,momentum_volume_confirmed,USDJPY,24,0.01,2.0
momentum_volume_confirmed__USDJPY__lookback-24__return_threshold-0p02__volume_ratio-1,momentum_volume_confirmed,USDJPY,24,0.02,1.0
momentum_volume_confirmed__USDJPY__lookback-24__return_threshold-0p02__volume_ratio-1p5,momentum_volume_confirmed,USDJPY,24,0.02,1.5
momentum_volume_confirmed__USDJPY__lookback-24__return_threshold-0p02__volume_ratio-2,momentum_volume_confirmed,USDJPY,24,0.02,2.0
momentum_volume_confirmed__USDJPY__lookback-48__return_threshold-0__volume_ratio-1,momentum_volume_confirmed,USDJPY,48,0.0,1.0
momentum_volume_confirmed__USDJPY__lookback-48__return_threshold-0__volume_ratio-1p5,momentum_volume_confirmed,USDJPY,48,0.0,1.5
momentum_volume_confirmed__USDJPY__lookback-48__return_threshold-0__volume_ratio-2,momentum_volume_confirmed,USDJPY,48,0.0,2.0
momentum_volume_confirmed__USDJPY__lookback-48__return_threshold-0p01__volume_ratio-1,momentum_volume_confirmed,USDJPY,48,0.01,1.0
momentum_volume_confirmed__USDJPY__lookback-48__return_threshold-0p01__volume_ratio-1p5,momentum_volume_confirmed,USDJPY,48,0.01,1.5
momentum_volume_confirmed__USDJPY__lookback-48__return_threshold-0p01__volume_ratio-2,momentum_volume_confirmed,USDJPY,48,0.01,2.0
momentum_volume_confirmed__USDJPY__lookback-48__return_threshold-0p02__volume_ratio-1,momentum_volume_confirmed,USDJPY,48,0.02,1.0
momentum_volume_confirmed__USDJPY__lookback-48__return_threshold-0p02__volume_ratio-1p5,momentum_volume_confirmed,USDJPY,48,0.02,1.5
momentum_volume_confirmed__USDJPY__lookback-48__return_threshold-0p02__volume_ratio-2,momentum_volume_confirmed,USDJPY,48,0.02,2.0
momentum_volume_confirmed__USDJPY__lookback-96__return_threshold-0__volume_ratio-1,momentum_volume_confirmed,USDJPY,96,0.0,1.0
momentum_volume_confirmed__USDJPY__lookback-96__return_threshold-0__volume_ratio-1p5,momentum_volume_confirmed,USDJPY,96,0.0,1.5
momentum_volume_confirmed__USDJPY__lookback-96__return_threshold-0__volume_ratio-2,momentum_volume_confirmed,USDJPY,96,0.0,2.0
momentum_volume_confirmed__USDJPY__lookback-96__return_threshold-0p01__volume_ratio-1,momentum_volume_confirmed,USDJPY,96,0.01,1.0
momentum_volume_confirmed__USDJPY__lookback-96__return_threshold-0p01__volume_ratio-1p5,momentum_volume_confirmed,USDJPY,96,0.01,1.5
momentum_volume_confirmed__USDJPY__lookback-96__return_threshold-0p01__volume_ratio-2,momentum_volume_confirmed,USDJPY,96,0.01,2.0
momentum_volume_confirmed__USDJPY__lookback-96__return_threshold-0p02__volume_ratio-1,momentum_volume_confirmed,USDJPY,96,0.02,1.0
momentum_volume_confirmed__USDJPY__lookback-96__return_threshold-0p02__volume_ratio-1p5,momentum_volume_confirmed,USDJPY,96,0.02,1.5
momentum_volume_confirmed__USDJPY__lookback-96__return_threshold-0p02__volume_ratio-2,momentum_volume_confirmed,USDJPY,96,0.02,2.0
momentum_volume_confirmed__VOD__lookback-24__return_threshold-0__volume_ratio-1,momentum_volume_confirmed,VOD,24,0.0,1.0
momentum_volume_confirmed__VOD__lookback-24__return_threshold-0__volume_ratio-1p5,momentum_volume_confirmed,VOD,24,0.0,1.5
momentum_volume_confirmed__VOD__lookback-24__return_threshold-0__volume_ratio-2,momentum_volume_confirmed,VOD,24,0.0,2.0
momentum_volume_confirmed__VOD__lookback-24__return_threshold-0p01__volume_ratio-1,momentum_volume_confirmed,VOD,24,0.01,1.0
momentum_volume_confirmed__VOD__lookback-24__return_threshold-0p01__volume_ratio-1p5,momentum_volume_confirmed,VOD,24,0.01,1.5
momentum_volume_confirmed__VOD__lookback-24__return_threshold-0p01__volume_ratio-2,momentum_volume_confirmed,VOD,24,0.01,2.0
momentum_volume_confirmed__VOD__lookback-24__return_threshold-0p02__volume_ratio-1,momentum_volume_confirmed,VOD,24,0.02,1.0
momentum_volume_confirmed__VOD__lookback-24__return_threshold-0p02__volume_ratio-1p5,momentum_volume_confirmed,VOD,24,0.02,1.5
momentum_volume_confirmed__VOD__lookback-24__return_threshold-0p02__volume_ratio-2,momentum_volume_confirmed,VOD,24,0.02,2.0
momentum_volume_confirmed__VOD__lookback-48__return_threshold-0__volume_ratio-1,momentum_volume_confirmed,VOD,48,0.0,1.0
momentum_volume_confirmed__VOD__lookback-48__return_threshold-0__volume_ratio-1p5,momentum_volume_confirmed,VOD,48,0.0,1.5
momentum_volume_confirmed__VOD__lookback-48__return_threshold-0__volume_ratio-2,momentum_volume_confirmed,VOD,48,0.0,2.0
momentum_volume_confirmed__VOD__lookback-48__return_threshold-0p01__volume_ratio-1,momentum_volume_confirmed,VOD,48,0.01,1.0
momentum_volume_confirmed__VOD__lookback-48__return_threshold-0p01__volume_ratio-1p5,momentum_volume_confirmed,VOD,48,0.01,1.5
momentum_volume_confirmed__VOD__lookback-48__return_threshold-0p01__volume_ratio-2,momentum_volume_confirmed,VOD,48,0.01,2.0
momentum_volume_confirmed__VOD__lookback-48__return_threshold-0p02__volume_ratio-1,momentum_volume_confirmed,VOD,48,0.02,1.0
momentum_volume_confirmed__VOD__lookback-48__return_threshold-0p02__volume_ratio-1p5,momentum_volume_confirmed,VOD,48,0.02,1.5
momentum_volume_confirmed__VOD__lookback-48__return_threshold-0p02__volume_ratio-2,momentum_volume_confirmed,VOD,48,0.02,2.0
momentum_volume_confirmed__VOD__lookback-96__return_threshold-0__volume_ratio-1,momentum_volume_confirmed,VOD,96,0.0,1.0
momentum_volume_confirmed__VOD__lookback-96__return_threshold-0__volume_ratio-1p5,momentum_volume_confirmed,VOD,96,0.0,1.5
momentum_volume_confirmed__VOD__lookback-96__return_threshold-0__volume_ratio-2,momentum_volume_confirmed,VOD,96,0.0,2.0
momentum_volume_confirmed__VOD__lookback-96__return_threshold-0p01__volume_ratio-1,momentum_volume_confirmed,VOD,96,0.01,1.0
momentum_volume_confirmed__VOD__lookback-96__return_threshold-0p01__volume_ratio-1p5,momentum_volume_confirmed,VOD,96,0.01,1.5
momentum_volume_confirmed__VOD__lookback-96__return_threshold-0p01__volume_ratio-2,momentum_volume_confirmed,VOD,96,0.01,2.0
momentum_volume_confirmed__VOD__lookback-96__return_threshold-0p02__volume_ratio-1,momentum_volume_confirmed,VOD,96,0.02,1.0
momentum_volume_confirmed__VOD__lookback-96__return_threshold-0p02__volume_ratio-1p5,momentum_volume_confirmed,VOD,96,0.02,1.5
momentum_volume_confirmed__VOD__lookback-96__return_threshold-0p02__volume_ratio-2,momentum_volume_confirmed,VOD,96,0.02,2.0
momentum_volume_confirmed__XAGUSD__lookback-24__return_threshold-0__volume_ratio-1,momentum_volume_confirmed,XAGUSD,24,0.0,1.0
momentum_volume_confirmed__XAGUSD__lookback-24__return_threshold-0__volume_ratio-1p5,momentum_volume_confirmed,XAGUSD,24,0.0,1.5
momentum_volume_confirmed__XAGUSD__lookback-24__return_threshold-0__volume_ratio-2,momentum_volume_confirmed,XAGUSD,24,0.0,2.0
momentum_volume_confirmed__XAGUSD__lookback-24__return_threshold-0p01__volume_ratio-1,momentum_volume_confirmed,XAGUSD,24,0.01,1.0
momentum_volume_confirmed__XAGUSD__lookback-24__return_threshold-0p01__volume_ratio-1p5,momentum_volume_confirmed,XAGUSD,24,0.01,1.5
momentum_volume_confirmed__XAGUSD__lookback-24__return_threshold-0p01__volume_ratio-2,momentum_volume_confirmed,XAGUSD,24,0.01,2.0
momentum_volume_confirmed__XAGUSD__lookback-24__return_threshold-0p02__volume_ratio-1,momentum_volume_confirmed,XAGUSD,24,0.02,1.0
momentum_volume_confirmed__XAGUSD__lookback-24__return_threshold-0p02__volume_ratio-1p5,momentum_volume_confirmed,XAGUSD,24,0.02,1.5
momentum_volume_confirmed__XAGUSD__lookback-24__return_threshold-0p02__volume_ratio-2,momentum_volume_confirmed,XAGUSD,24,0.02,2.0
momentum_volume_confirmed__XAGUSD__lookback-48__return_threshold-0__volume_ratio-1,momentum_volume_confirmed,XAGUSD,48,0.0,1.0
momentum_volume_confirmed__XAGUSD__lookback-48__return_threshold-0__volume_ratio-1p5,momentum_volume_confirmed,XAGUSD,48,0.0,1.5
momentum_volume_confirmed__XAGUSD__lookback-48__return_threshold-0__volume_ratio-2,momentum_volume_confirmed,XAGUSD,48,0.0,2.0
momentum_volume_confirmed__XAGUSD__lookback-48__return_threshold-0p01__volume_ratio-1,momentum_volume_confirmed,XAGUSD,48,0.01,1.0
momentum_volume_confirmed__XAGUSD__lookback-48__return_threshold-0p01__volume_ratio-1p5,momentum_volume_confirmed,XAGUSD,48,0.01,1.5
momentum_volume_confirmed__XAGUSD__lookback-48__return_threshold-0p01__volume_ratio-2,momentum_volume_confirmed,XAGUSD,48,0.01,2.0
momentum_volume_confirmed__XAGUSD__lookback-48__return_threshold-0p02__volume_ratio-1,momentum_volume_confirmed,XAGUSD,48,0.02,1.0
momentum_volume_confirmed__XAGUSD__lookback-48__return_threshold-0p02__volume_ratio-1p5,momentum_volume_confirmed,XAGUSD,48,0.02,1.5
momentum_volume_confirmed__XAGUSD__lookback-48__return_threshold-0p02__volume_ratio-2,momentum_volume_confirmed,XAGUSD,48,0.02,2.0
momentum_volume_confirmed__XAGUSD__lookback-96__return_threshold-0__volume_ratio-1,momentum_volume_confirmed,XAGUSD,96,0.0,1.0
momentum_volume_confirmed__XAGUSD__lookback-96__return_threshold-0__volume_ratio-1p5,momentum_volume_confirmed,XAGUSD,96,0.0,1.5
momentum_volume_confirmed__XAGUSD__lookback-96__return_threshold-0__volume_ratio-2,momentum_volume_confirmed,XAGUSD,96,0.0,2.0
momentum_volume_confirmed__XAGUSD__lookback-96__return_threshold-0p01__volume_ratio-1,momentum_volume_confirmed,XAGUSD,96,0.01,1.0
momentum_volume_confirmed__XAGUSD__lookback-96__return_threshold-0p01__volume_ratio-1p5,momentum_volume_confirmed,XAGUSD,96,0.01,1.5
momentum_volume_confirmed__XAGUSD__lookback-96__return_threshold-0p01__volume_ratio-2,momentum_volume_confirmed,XAGUSD,96,0.01,2.0
momentum_volume_confirmed__XAGUSD__lookback-96__return_threshold-0p02__volume_ratio-1,momentum_volume_confirmed,XAGUSD,96,0.02,1.0
momentum_volume_confirmed__XAGUSD__lookback-96__return_threshold-0p02__volume_ratio-1p5,momentum_volume_confirmed,XAGUSD,96,0.02,1.5
momentum_volume_confirmed__XAGUSD__lookback-96__return_threshold-0p02__volume_ratio-2,momentum_volume_confirmed,XAGUSD,96,0.02,2.0
momentum_volume_confirmed__XAUUSD__lookback-24__return_threshold-0__volume_ratio-1,momentum_volume_confirmed,XAUUSD,24,0.0,1.0
momentum_volume_confirmed__XAUUSD__lookback-24__return_threshold-0__volume_ratio-1p5,momentum_volume_confirmed,XAUUSD,24,0.0,1.5
momentum_volume_confirmed__XAUUSD__lookback-24__return_threshold-0__volume_ratio-2,momentum_volume_confirmed,XAUUSD,24,0.0,2.0
momentum_volume_confirmed__XAUUSD__lookback-24__return_threshold-0p01__volume_ratio-1,momentum_volume_confirmed,XAUUSD,24,0.01,1.0
momentum_volume_confirmed__XAUUSD__lookback-24__return_threshold-0p01__volume_ratio-1p5,momentum_volume_confirmed,XAUUSD,24,0.01,1.5
momentum_volume_confirmed__XAUUSD__lookback-24__return_threshold-0p01__volume_ratio-2,momentum_volume_confirmed,XAUUSD,24,0.01,2.0
momentum_volume_confirmed__XAUUSD__lookback-24__return_threshold-0p02__volume_ratio-1,momentum_volume_confirmed,XAUUSD,24,0.02,1.0
