candidate_id,family,symbol,window,atr_multiple,exit_atr_multiple
mean_reversion_keltner__XAGUSD__atr_multiple-2__exit_atr_multiple-0p5__window-20,mean_reversion_keltner,XAGUSD,20,2.0,0.5
mean_reversion_keltner__XAGUSD__atr_multiple-2__exit_atr_multiple-0p5__window-40,mean_reversion_keltner,XAGUSD,40,2.0,0.5
mean_reversion_keltner__XAGUSD__atr_multiple-2__exit_atr_multiple-0p5__window-80,mean_reversion_keltner,XAGUSD,80,2.0,0.5
mean_reversion_keltner__XAGUSD__atr_multiple-2p5__exit_atr_multiple-0__window-20,mean_reversion_keltner,XAGUSD,20,2.5,0.0
mean_reversion_keltner__XAGUSD__atr_multiple-2p5__exit_atr_multiple-0__window-40,mean_reversion_keltner,XAGUSD,40,2.5,0.0
mean_reversion_keltner__XAGUSD__atr_multiple-2p5__exit_atr_multiple-0__window-80,mean_reversion_keltner,XAGUSD,80,2.5,0.0
mean_reversion_keltner__XAGUSD__atr_multiple-2p5__exit_atr_multiple-0p5__window-20,mean_reversion_keltner,XAGUSD,20,2.5,0.5
mean_reversion_keltner__XAGUSD__atr_multiple-2p5__exit_atr_multiple-0p5__window-40,mean_reversion_keltner,XAGUSD,40,2.5,0.5
mean_reversion_keltner__XAGUSD__atr_multiple-2p5__exit_atr_multiple-0p5__window-80,mean_reversion_keltner,XAGUSD,80,2.5,0.5
mean_reversion_keltner__XAUUSD__atr_multiple-1p5__exit_atr_multiple-0__window-20,mean_reversion_keltner,XAUUSD,20,1.5,0.0
mean_reversion_keltner__XAUUSD__atr_multiple-1p5__exit_atr_multiple-0__window-40,mean_reversion_keltner,XAUUSD,40,1.5,0.0
mean_reversion_keltner__XAUUSD__atr_multiple-1p5__exit_atr_multiple-0__window-80,mean_reversion_keltner,XAUUSD,80,1.5,0.0
mean_reversion_keltner__XAUUSD__atr_multiple-1p5__exit_atr_multiple-0p5__window-20,mean_reversion_keltner,XAUUSD,20,1.5,0.5
mean_reversion_keltner__XAUUSD__atr_multiple-1p5__exit_atr_multiple-0p5__window-40,mean_reversion_keltner,XAUUSD,40,1.5,0.5
mean_reversion_keltner__XAUUSD__atr_multiple-1p5__exit_atr_multiple-0p5__window-80,mean_reversion_keltner,XAUUSD,80,1.5,0.5
mean_reversion_keltner__XAUUSD__atr_multiple-2__exit_atr_multiple-0__window-20,mean_reversion_keltner,XAUUSD,20,2.0,0.0
mean_reversion_keltner__XAUUSD__atr_multiple-2__exit_atr_multiple-0__window-40,mean_reversion_keltner,XAUUSD,40,2.0,0.0
mean_reversion_keltner__XAUUSD__atr_multiple-2__exit_atr_multiple-0__window-80,mean_reversion_keltner,XAUUSD,80,2.0,0.0
mean_reversion_keltner__XAUUSD__atr_multiple-2__exit_atr_multiple-0p5__window-20,mean_reversion_keltner,XAUUSD,20,2.0,0.5
mean_reversion_keltner__XAUUSD__atr_multiple-2__exit_atr_multiple-0p5__window-40,mean_reversion_keltner,XAUUSD,40,2.0,0.5
mean_reversion_keltner__XAUUSD__atr_multiple-2__exit_atr_multiple-0p5__window-80,mean_reversion_keltner,XAUUSD,80,2.0,0.5
mean_reversion_keltner__XAUUSD__atr_multiple-2p5__exit_atr_multiple-0__window-20,mean_reversion_keltner,XAUUSD,20,2.5,0.0
mean_reversion_keltner__XAUUSD__atr_multiple-2p5__exit_atr_multiple-0__window-40,mean_reversion_keltner,XAUUSD,40,2.5,0.0
mean_reversion_keltner__XAUUSD__atr_multiple-2p5__exit_atr_multiple-0__window-80,mean_reversion_keltner,XAUUSD,80,2.5,0.0
mean_reversion_keltner__XAUUSD__atr_multiple-2p5__exit_atr_multiple-0p5__window-20,mean_reversion_keltner,XAUUSD,20,2.5,0.5
mean_reversion_keltner__XAUUSD__atr_multiple-2p5__exit_atr_multiple-0p5__window-40,mean_reversion_keltner,XAUUSD,40,2.5,0.5
mean_reversion_keltner__XAUUSD__atr_multiple-2p5__exit_atr_multiple-0p5__window-80,mean_reversion_keltner,XAUUSD,80,2.5,0.5
