candidate_id,family,symbol,window,atr_multiple,exit_atr_multiple
mean_reversion_keltner__GBPUSD__atr_multiple-1p5__exit_atr_multiple-0__window-80,mean_reversion_keltner,GBPUSD,80,1.5,0.0
mean_reversion_keltner__GBPUSD__atr_multiple-1p5__exit_atr_multiple-0p5__window-20,mean_reversion_keltner,GBPUSD,20,1.5,0.5
mean_reversion_keltner__GBPUSD__atr_multiple-1p5__exit_atr_multiple-0p5__window-40,mean_reversion_keltner,GBPUSD,40,1.5,0.5
mean_reversion_keltner__GBPUSD__atr_multiple-1p5__exit_atr_multiple-0p5__window-80,mean_reversion_keltner,GBPUSD,80,1.5,0.5
mean_reversion_keltner__GBPUSD__atr_multiple-2__exit_atr_multiple-0__window-20,mean_reversion_keltner,GBPUSD,20,2.0,0.0
mean_reversion_keltner__GBPUSD__atr_multiple-2__exit_atr_multiple-0__window-40,mean_reversion_keltner,GBPUSD,40,2.0,0.0
mean_reversion_keltner__GBPUSD__atr_multiple-2__exit_atr_multiple-0__window-80,mean_reversion_keltner,GBPUSD,80,2.0,0.0
mean_reversion_keltner__GBPUSD__atr_multiple-2__exit_atr_multiple-0p5__window-20,mean_reversion_keltner,GBPUSD,20,2.0,0.5
mean_reversion_keltner__GBPUSD__atr_multiple-2__exit_atr_multiple-0p5__window-40,mean_reversion_keltner,GBPUSD,40,2.0,0.5
mean_reversion_keltner__GBPUSD__atr_multiple-2__exit_atr_multiple-0p5__window-80,mean_reversion_keltner,GBPUSD,80,2.0,0.5
mean_reversion_keltner__GBPUSD__atr_multiple-2p5__exit_atr_multiple-0__window-20,mean_reversion_keltner,GBPUSD,20,2.5,0.0
mean_reversion_keltner__GBPUSD__atr_multiple-2p5__exit_atr_multiple-0__window-40,mean_reversion_keltner,GBPUSD,40,2.5,0.0
mean_reversion_keltner__GBPUSD__atr_multiple-2p5__exit_atr_multiple-0__window-80,mean_reversion_keltner,GBPUSD,80,2.5,0.0
mean_reversion_keltner__GBPUSD__atr_multiple-2p5__exit_atr_multiple-0p5__window-20,mean_reversion_keltner,GBPUSD,20,2.5,0.5
mean_reversion_keltner__GBPUSD__atr_multiple-2p5__exit_atr_multiple-0p5__window-40,mean_reversion_keltner,GBPUSD,40,2.5,0.5
mean_reversion_keltner__GBPUSD__atr_multiple-2p5__exit_atr_multiple-0p5__window-80,mean_reversion_keltner,GBPUSD,80,2.5,0.5
mean_reversion_keltner__SAP__atr_multiple-1p5__exit_atr_multiple-0__window-20,mean_reversion_keltner,SAP,20,1.5,0.0
mean_reversion_keltner__SAP__atr_multiple-1p5__exit_atr_multiple-0__window-40,mean_reversion_keltner,SAP,40,1.5,0.0
mean_reversion_keltner__SAP__atr_multiple-1p5__exit_atr_multiple-0__window-80,mean_reversion_keltner,SAP,80,1.5,0.0
mean_reversion_keltner__SAP__atr_multiple-1p5__exit_atr_multiple-0p5__window-20,mean_reversion_keltner,SAP,20,1.5,0.5
mean_reversion_keltner__SAP__atr_multiple-1p5__exit_atr_multiple-0p5__window-40,mean_reversion_keltner,SAP,40,1.5,0.5
mean_reversion_keltner__SAP__atr_multiple-1p5__exit_atr_multiple-0p5__window-80,mean_reversion_keltner,SAP,80,1.5,0.5
mean_reversion_keltner__SAP__atr_multiple-2__exit_atr_multiple-0__window-20,mean_reversion_keltner,SAP,20,2.0,0.0
mean_reversion_keltner__SAP__atr_multiple-2__exit_atr_multiple-0__window-40,mean_reversion_keltner,SAP,40,2.0,0.0
mean_reversion_keltner__SAP__atr_multiple-2__exit_atr_multiple-0__window-80,mean_reversion_keltner,SAP,80,2.0,0.0
mean_reversion_keltner__SAP__atr_multiple-2__exit_atr_multiple-0p5__window-20,mean_reversion_keltner,SAP,20,2.0,0.5
mean_reversion_keltner__SAP__atr_multiple-2__exit_atr_multiple-0p5__window-40,mean_reversion_keltner,SAP,40,2.0,0.5
mean_reversion_keltner__SAP__atr_multiple-2__exit_atr_multiple-0p5__window-80,mean_reversion_keltner,SAP,80,2.0,0.5
mean_reversion_keltner__SAP__atr_multiple-2p5__exit_atr_multiple-0__window-20,mean_reversion_keltner,SAP,20,2.5,0.0
mean_reversion_keltner__SAP__atr_multiple-2p5__exit_atr_multiple-0__window-40,mean_reversion_keltner,SAP,40,2.5,0.0
mean_reversion_keltner__SAP__atr_multiple-2p5__exit_atr_multiple-0__window-80,mean_reversion_keltner,SAP,80,2.5,0.0
mean_reversion_keltner__SAP__atr_multiple-2p5__exit_atr_multiple-0p5__window-20,mean_reversion_keltner,SAP,20,2.5,0.5
mean_reversion_keltner__SAP__atr_multiple-2p5__exit_atr_multiple-0p5__window-40,mean_reversion_keltner,SAP,40,2.5,0.5
mean_reversion_keltner__SAP__atr_multiple-2p5__exit_atr_multiple-0p5__window-80,mean_reversion_keltner,SAP,80,2.5,0.5
mean_reversion_keltner__USDJPY__atr_multiple-1p5__exit_atr_multiple-0__window-20,mean_reversion_keltner,USDJPY,20,1.5,0.0
mean_reversion_keltner__USDJPY__atr_multiple-1p5__exit_atr_multiple-0__window-40,mean_reversion_keltner,USDJPY,40,1.5,0.0
mean_reversion_keltner__USDJPY__atr_multiple-1p5__exit_atr_multiple-0__window-80,mean_reversion_keltner,USDJPY,80,1.5,0.0
mean_reversion_keltner__USDJPY__atr_multiple-1p5__exit_atr_multiple-0p5__window-20,mean_reversion_keltner,USDJPY,20,1.5,0.5
mean_reversion_keltner__USDJPY__atr_multiple-1p5__exit_atr_multiple-0p5__window-40,mean_reversion_keltner,USDJPY,40,1.5,0.5
mean_reversion_keltner__USDJPY__atr_multiple-1p5__exit_atr_multiple-0p5__window-80,mean_reversion_keltner,USDJPY,80,1.5,0.5
mean_reversion_keltner__USDJPY__atr_multiple-2__exit_atr_multiple-0__window-20,mean_reversion_keltner,USDJPY,20,2.0,0.0
mean_reversion_keltner__USDJPY__atr_multiple-2__exit_atr_multiple-0__window-40,mean_reversion_keltner,USDJPY,40,2.0,0.0
mean_reversion_keltner__USDJPY__atr_multiple-2__exit_atr_multiple-0__window-80,mean_reversion_keltner,USDJPY,80,2.0,0.0
mean_reversion_keltner__USDJPY__atr_multiple-2__exit_atr_multiple-0p5__window-20,mean_reversion_keltner,USDJPY,20,2.0,0.5
mean_reversion_keltner__USDJPY__atr_multiple-2__exit_atr_multiple-0p5__window-40,mean_reversion_keltner,USDJPY,40,2.0,0.5
mean_reversion_keltner__USDJPY__atr_multiple-2__exit_atr_multiple-0p5__window-80,mean_reversion_keltner,USDJPY,80,2.0,0.5
mean_reversion_keltner__USDJPY__atr_multiple-2p5__exit_atr_multiple-0__window-20,mean_reversion_keltner,USDJPY,20,2.5,0.0
mean_reversion_keltner__USDJPY__atr_multiple-2p5__exit_atr_multiple-0__window-40,mean_reversion_keltner,USDJPY,40,2.5,0.0
mean_reversion_keltner__USDJPY__atr_multiple-2p5__exit_atr_multiple-0__window-80,mean_reversion_keltner,USDJPY,80,2.5,0.0
mean_reversion_keltner__USDJPY__atr_multiple-2p5__exit_atr_multiple-0p5__window-20,mean_reversion_keltner,USDJPY,20,2.5,0.5
mean_reversion_keltner__USDJPY__atr_multiple-2p5__exit_atr_multiple-0p5__window-40,mean_reversion_keltner,USDJPY,40,2.5,0.5
mean_reversion_keltner__USDJPY__atr_multiple-2p5__exit_atr_multiple-0p5__window-80,mean_reversion_keltner,USDJPY,80,2.5,0.5
mean_reversion_keltner__VOD__atr_multiple-1p5__exit_atr_multiple-0__window-20,mean_reversion_keltner,VOD,20,1.5,0.0
mean_reversion_keltner__VOD__atr_multiple-1p5__exit_atr_multiple-0__window-40,mean_reversion_keltner,VOD,40,1.5,0.0
mean_reversion_keltner__VOD__atr_multiple-1p5__exit_atr_multiple-0__window-80,mean_reversion_keltner,VOD,80,1.5,0.0
mean_reversion_keltner__VOD__atr_multiple-1p5__exit_atr_multiple-0p5__window-20,mean_reversion_keltner,VOD,20,1.5,0.5
mean_reversion_keltner__VOD__atr_multiple-1p5__exit_atr_multiple-0p5__window-40,mean_reversion_keltner,VOD,40,1.5,0.5
mean_reversion_keltner__VOD__atr_multiple-1p5__exit_atr_multiple-0p5__window-80,mean_reversion_keltner,VOD,80,1.5,0.5
mean_reversion_keltner__VOD__atr_multiple-2__exit_atr_multiple-0__window-20,mean_reversion_keltner,VOD,20,2.0,0.0
mean_reversion_keltner__VOD__atr_multiple-2__exit_atr_multiple-0__window-40,mean_reversion_keltner,VOD,40,2.0,0.0
mean_reversion_keltner__VOD__atr_multiple-2__exit_atr_multiple-0__window-80,mean_reversion_keltner,VOD,80,2.0,0.0
mean_reversion_keltner__VOD__atr_multiple-2__exit_atr_multiple-0p5__window-20,mean_reversion_keltner,VOD,20,2.0,0.5
mean_reversion_keltner__VOD__atr_multiple-2__exit_atr_multiple-0p5__window-40,mean_reversion_keltner,VOD,40,2.0,0.5
mean_reversion_keltner__VOD__atr_multiple-2__exit_atr_multiple-0p5__window-80,mean_reversion_keltner,VOD,80,2.0,0.5
mean_reversion_keltner__VOD__atr_multiple-2p5__exit_atr_multiple-0__window-20,mean_reversion_keltner,VOD,20,2.5,0.0
mean_reversion_keltner__VOD__atr_multiple-2p5__exit_atr_multiple-0__window-40,mean_reversion_keltner,VOD,40,2.5,0.0
mean_reversion_keltner__VOD__atr_multiple-2p5__exit_atr_multiple-0__window-80,mean_reversion_keltner,VOD,80,2.5,0.0
mean_reversion_keltner__VOD__atr_multiple-2p5__exit_atr_multiple-0p5__window-20,mean_reversion_keltner,VOD,20,2.5,0.5
mean_reversion_keltner__VOD__atr_multiple-2p5__exit_atr_multiple-0p5__window-40,mean_reversion_keltner,VOD,40,2.5,0.5
mean_reversion_keltner__VOD__atr_multiple-2p5__exit_atr_multiple-0p5__window-80,mean_reversion_keltner,VOD,80,2.5,0.5
mean_reversion_keltner__XAGUSD__atr_multiple-1p5__exit_atr_multiple-0__window-20,mean_reversion_keltner,XAGUSD,20,1.5,0.0
mean_reversion_keltner__XAGUSD__atr_multiple-1p5__exit_atr_multiple-0__window-40,mean_reversion_keltner,XAGUSD,40,1.5,0.0
mean_reversion_keltner__XAGUSD__atr_multiple-1p5__exit_atr_multiple-0__window-80,mean_reversion_keltner,XAGUSD,80,1.5,0.0
mean_reversion_keltner__XAGUSD__atr_multiple-1p5__exit_atr_multiple-0p5__window-20,mean_reversion_keltner,XAGUSD,20,1.5,0.5
mean_reversion_keltner__XAGUSD__atr_multiple-1p5__exit_atr_multiple-0p5__window-40,mean_reversion_keltner,XAGUSD,40,1.5,0.5
mean_reversion_keltner__XAGUSD__atr_multiple-1p5__exit_atr_multiple-0p5__window-80,mean_reversion_keltner,XAGUSD,80,1.5,0.5
mean_reversion_keltner__XAGUSD__atr_multiple-2__exit_atr_multiple-0__window-20,mean_reversion_keltner,XAGUSD,20,2.0,0.0
mean_reversion_keltner__XAGUSD__atr_multiple-2__exit_atr_multiple-0__window-40,mean_reversion_keltner,XAGUSD,40,2.0,0.0
mean_reversion_keltner__XAGUSD__atr_multiple-2__exit_atr_multiple-0__window-80,mean_reversion_keltner,XAGUSD,80,2.0,0.0
