candidate_id,family,symbol,window,num_std,atr_multiple
volatility_squeeze__VOD__atr_multiple-2__num_std-1p5__window-40,volatility_squeeze,VOD,40,1.5,2.0
volatility_squeeze__VOD__atr_multiple-2__num_std-2__window-20,volatility_squeeze,VOD,20,2.0,2.0
volatility_squeeze__VOD__atr_multiple-2__num_std-2__window-40,volatility_squeeze,VOD,40,2.0,2.0
volatility_squeeze__XAGUSD__atr_multiple-1p5__num_std-1p5__window-20,volatility_squeeze,XAGUSD,20,1.5,1.5
volatility_squeeze__XAGUSD__atr_multiple-1p5__num_std-1p5__window-40,volatility_squeeze,XAGUSD,40,1.5,1.5
volatility_squeeze__XAGUSD__atr_multiple-1p5__num_std-2__window-20,volatility_squeeze,XAGUSD,20,2.0,1.5
volatility_squeeze__XAGUSD__atr_multiple-1p5__num_std-2__window-40,volatility_squeeze,XAGUSD,40,2.0,1.5
volatility_squeeze__XAGUSD__atr_multiple-2__num_std-1p5__window-20,volatility_squeeze,XAGUSD,20,1.5,2.0
volatility_squeeze__XAGUSD__atr_multiple-2__num_std-1p5__window-40,volatility_squeeze,XAGUSD,40,1.5,2.0
volatility_squeeze__XAGUSD__atr_multiple-2__num_std-2__window-20,volatility_squeeze,XAGUSD,20,2.0,2.0
volatility_squeeze__XAGUSD__atr_multiple-2__num_std-2__window-40,volatility_squeeze,XAGUSD,40,2.0,2.0
volatility_squeeze__XAUUSD__atr_multiple-1p5__num_std-1p5__window-20,volatility_squeeze,XAUUSD,20,1.5,1.5
volatility_squeeze__XAUUSD__atr_multiple-1p5__num_std-1p5__window-40,volatility_squeeze,XAUUSD,40,1.5,1.5
volatility_squeeze__XAUUSD__atr_multiple-1p5__num_std-2__window-20,volatility_squeeze,XAUUSD,20,2.0,1.5
volatility_squeeze__XAUUSD__atr_multiple-1p5__num_std-2__window-40,volatility_squeeze,XAUUSD,40,2.0,1.5
volatility_squeeze__XAUUSD__atr_multiple-2__num_std-1p5__window-20,volatility_squeeze,XAUUSD,20,1.5,2.0
volatility_squeeze__XAUUSD__atr_multiple-2__num_std-1p5__window-40,volatility_squeeze,XAUUSD,40,1.5,2.0
volatility_squeeze__XAUUSD__atr_multiple-2__num_std-2__window-20,volatility_squeeze,XAUUSD,20,2.0,2.0
volatility_squeeze__XAUUSD__atr_multiple-2__num_std-2__window-40,volatility_squeeze,XAUUSD,40,2.0,2.0
