candidate_id,family,symbol,acceleration_step,acceleration_max
trend_psar__VOD__acceleration_max-0p3__acceleration_step-0p01,trend_psar,VOD,0.01,0.3
trend_psar__VOD__acceleration_max-0p3__acceleration_step-0p02,trend_psar,VOD,0.02,0.3
trend_psar__VOD__acceleration_max-0p3__acceleration_step-0p03,trend_psar,VOD,0.03,0.3
trend_psar__XAGUSD__acceleration_max-0p1__acceleration_step-0p01,trend_psar,XAGUSD,0.01,0.1
trend_psar__XAGUSD__acceleration_max-0p1__acceleration_step-0p02,trend_psar,XAGUSD,0.02,0.1
trend_psar__XAGUSD__acceleration_max-0p1__acceleration_step-0p03,trend_psar,XAGUSD,0.03,0.1
trend_psar__XAGUSD__acceleration_max-0p2__acceleration_step-0p01,trend_psar,XAGUSD,0.01,0.2
trend_psar__XAGUSD__acceleration_max-0p2__acceleration_step-0p02,trend_psar,XAGUSD,0.02,0.2
trend_psar__XAGUSD__acceleration_max-0p2__acceleration_step-0p03,trend_psar,XAGUSD,0.03,0.2
trend_psar__XAGUSD__acceleration_max-0p3__acceleration_step-0p01,trend_psar,XAGUSD,0.01,0.3
trend_psar__XAGUSD__acceleration_max-0p3__acceleration_step-0p02,trend_psar,XAGUSD,0.02,0.3
trend_psar__XAGUSD__acceleration_max-0p3__acceleration_step-0p03,trend_psar,XAGUSD,0.03,0.3
trend_psar__XAUUSD__acceleration_max-0p1__acceleration_step-0p01,trend_psar,XAUUSD,0.01,0.1
trend_psar__XAUUSD__acceleration_max-0p1__acceleration_step-0p02,trend_psar,XAUUSD,0.02,0.1
trend_psar__XAUUSD__acceleration_max-0p1__acceleration_step-0p03,trend_psar,XAUUSD,0.03,0.1
trend_psar__XAUUSD__acceleration_max-0p2__acceleration_step-0p01,trend_psar,XAUUSD,0.01,0.2
trend_psar__XAUUSD__acceleration_max-0p2__acceleration_step-0p02,trend_psar,XAUUSD,0.02,0.2
trend_psar__XAUUSD__acceleration_max-0p2__acceleration_step-0p03,trend_psar,XAUUSD,0.03,0.2
trend_psar__XAUUSD__acceleration_max-0p3__acceleration_step-0p01,trend_psar,XAUUSD,0.01,0.3
trend_psar__XAUUSD__acceleration_max-0p3__acceleration_step-0p02,trend_psar,XAUUSD,0.02,0.3
trend_psar__XAUUSD__acceleration_max-0p3__acceleration_step-0p03,trend_psar,XAUUSD,0.03,0.3
