candidate_id,family,symbol,lookback,threshold
momentum_acceleration__XAGUSD__lookback-24__threshold-0p01,momentum_acceleration,XAGUSD,24,0.01
momentum_acceleration__XAGUSD__lookback-48__threshold-0,momentum_acceleration,XAGUSD,48,0.0
momentum_acceleration__XAGUSD__lookback-48__threshold-0p005,momentum_acceleration,XAGUSD,48,0.005
momentum_acceleration__XAGUSD__lookback-48__threshold-0p01,momentum_acceleration,XAGUSD,48,0.01
momentum_acceleration__XAGUSD__lookback-96__threshold-0,momentum_acceleration,XAGUSD,96,0.0
momentum_acceleration__XAGUSD__lookback-96__threshold-0p005,momentum_acceleration,XAGUSD,96,0.005
momentum_acceleration__XAGUSD__lookback-96__threshold-0p01,momentum_acceleration,XAGUSD,96,0.01
momentum_acceleration__XAUUSD__lookback-24__threshold-0,momentum_acceleration,XAUUSD,24,0.0
momentum_acceleration__XAUUSD__lookback-24__threshold-0p005,momentum_acceleration,XAUUSD,24,0.005
momentum_acceleration__XAUUSD__lookback-24__threshold-0p01,momentum_acceleration,XAUUSD,24,0.01
momentum_acceleration__XAUUSD__lookback-48__threshold-0,momentum_acceleration,XAUUSD,48,0.0
momentum_acceleration__XAUUSD__lookback-48__threshold-0p005,momentum_acceleration,XAUUSD,48,0.005
momentum_acceleration__XAUUSD__lookback-48__threshold-0p01,momentum_acceleration,XAUUSD,48,0.01
momentum_acceleration__XAUUSD__lookback-96__threshold-0,momentum_acceleration,XAUUSD,96,0.0
momentum_acceleration__XAUUSD__lookback-96__threshold-0p005,momentum_acceleration,XAUUSD,96,0.005
momentum_acceleration__XAUUSD__lookback-96__threshold-0p01,momentum_acceleration,XAUUSD,96,0.01
