candidate_id,family,symbol,fast_span,slow_span,signal_span
trend_macd__USDJPY__fast_span-24__signal_span-18__slow_span-104,trend_macd,USDJPY,24,104,18
trend_macd__USDJPY__fast_span-24__signal_span-18__slow_span-26,trend_macd,USDJPY,24,26,18
trend_macd__USDJPY__fast_span-24__signal_span-18__slow_span-52,trend_macd,USDJPY,24,52,18
trend_macd__USDJPY__fast_span-24__signal_span-9__slow_span-104,trend_macd,USDJPY,24,104,9
trend_macd__USDJPY__fast_span-24__signal_span-9__slow_span-26,trend_macd,USDJPY,24,26,9
trend_macd__USDJPY__fast_span-24__signal_span-9__slow_span-52,trend_macd,USDJPY,24,52,9
trend_macd__VOD__fast_span-12__signal_span-18__slow_span-104,trend_macd,VOD,12,104,18
trend_macd__VOD__fast_span-12__signal_span-18__slow_span-26,trend_macd,VOD,12,26,18
trend_macd__VOD__fast_span-12__signal_span-18__slow_span-52,trend_macd,VOD,12,52,18
trend_macd__VOD__fast_span-12__signal_span-9__slow_span-104,trend_macd,VOD,12,104,9
trend_macd__VOD__fast_span-12__signal_span-9__slow_span-26,trend_macd,VOD,12,26,9
trend_macd__VOD__fast_span-12__signal_span-9__slow_span-52,trend_macd,VOD,12,52,9
trend_macd__VOD__fast_span-24__signal_span-18__slow_span-104,trend_macd,VOD,24,104,18
trend_macd__VOD__fast_span-24__signal_span-18__slow_span-26,trend_macd,VOD,24,26,18
trend_macd__VOD__fast_span-24__signal_span-18__slow_span-52,trend_macd,VOD,24,52,18
trend_macd__VOD__fast_span-24__signal_span-9__slow_span-104,trend_macd,VOD,24,104,9
trend_macd__VOD__fast_span-24__signal_span-9__slow_span-26,trend_macd,VOD,24,26,9
trend_macd__VOD__fast_span-24__signal_span-9__slow_span-52,trend_macd,VOD,24,52,9
trend_macd__XAGUSD__fast_span-12__signal_span-18__slow_span-104,trend_macd,XAGUSD,12,104,18
trend_macd__XAGUSD__fast_span-12__signal_span-18__slow_span-26,trend_macd,XAGUSD,12,26,18
trend_macd__XAGUSD__fast_span-12__signal_span-18__slow_span-52,trend_macd,XAGUSD,12,52,18
trend_macd__XAGUSD__fast_span-12__signal_span-9__slow_span-104,trend_macd,XAGUSD,12,104,9
trend_macd__XAGUSD__fast_span-12__signal_span-9__slow_span-26,trend_macd,XAGUSD,12,26,9
trend_macd__XAGUSD__fast_span-12__signal_span-9__slow_span-52,trend_macd,XAGUSD,12,52,9
trend_macd__XAGUSD__fast_span-24__signal_span-18__slow_span-104,trend_macd,XAGUSD,24,104,18
trend_macd__XAGUSD__fast_span-24__signal_span-18__slow_span-26,trend_macd,XAGUSD,24,26,18
trend_macd__XAGUSD__fast_span-24__signal_span-18__slow_span-52,trend_macd,XAGUSD,24,52,18
trend_macd__XAGUSD__fast_span-24__signal_span-9__slow_span-104,trend_macd,XAGUSD,24,104,9
trend_macd__XAGUSD__fast_span-24__signal_span-9__slow_span-26,trend_macd,XAGUSD,24,26,9
trend_macd__XAGUSD__fast_span-24__signal_span-9__slow_span-52,trend_macd,XAGUSD,24,52,9
trend_macd__XAUUSD__fast_span-12__signal_span-18__slow_span-104,trend_macd,XAUUSD,12,104,18
trend_macd__XAUUSD__fast_span-12__signal_span-18__slow_span-26,trend_macd,XAUUSD,12,26,18
trend_macd__XAUUSD__fast_span-12__signal_span-18__slow_span-52,trend_macd,XAUUSD,12,52,18
trend_macd__XAUUSD__fast_span-12__signal_span-9__slow_span-104,trend_macd,XAUUSD,12,104,9
trend_macd__XAUUSD__fast_span-12__signal_span-9__slow_span-26,trend_macd,XAUUSD,12,26,9
trend_macd__XAUUSD__fast_span-12__signal_span-9__slow_span-52,trend_macd,XAUUSD,12,52,9
trend_macd__XAUUSD__fast_span-24__signal_span-18__slow_span-104,trend_macd,XAUUSD,24,104,18
trend_macd__XAUUSD__fast_span-24__signal_span-18__slow_span-26,trend_macd,XAUUSD,24,26,18
trend_macd__XAUUSD__fast_span-24__signal_span-18__slow_span-52,trend_macd,XAUUSD,24,52,18
trend_macd__XAUUSD__fast_span-24__signal_span-9__slow_span-104,trend_macd,XAUUSD,24,104,9
trend_macd__XAUUSD__fast_span-24__signal_span-9__slow_span-26,trend_macd,XAUUSD,24,26,9
trend_macd__XAUUSD__fast_span-24__signal_span-9__slow_span-52,trend_macd,XAUUSD,24,52,9
