symbol,ibkr_symbol,asset_class,expected_session,tick_size,row_count,rows_after_cleaning,duplicate_timestamp_rows,invalid_ohlc_count,extreme_return_count,extreme_range_count,unexpected_gap_count,largest_time_gap_minutes,start_timestamp,end_timestamp
USDJPY,USD,fx,24/5,0.001,41661,41661,0,0,4,11,9,4560.0,2020-01-02T00:00:00+00:00,2026-09-11T06:00:00+00:00
EURUSD,EUR,fx,24/5,0.001,41661,41661,0,0,0,1,9,4560.0,2020-01-02T00:00:00+00:00,2026-09-11T06:00:00+00:00
GBPUSD,GBP,fx,24/5,0.001,41661,41661,0,0,1,7,9,4560.0,2020-01-02T00:00:00+00:00,2026-09-11T06:00:00+00:00
AUDUSD,AUD,fx,24/5,0.001,41661,41661,0,0,3,13,9,4560.0,2020-01-02T00:00:00+00:00,2026-09-11T06:00:00+00:00
XAUUSD,XAUUSD,commodity,24/5,0.001,39576,39576,0,0,21,110,1402,4620.0,2020-01-02T00:00:00+00:00,2026-09-11T07:00:00+00:00
XAGUSD,XAGUSD,commodity,24/5,0.001,39576,39576,0,0,304,1122,1402,4620.0,2020-01-02T00:00:00+00:00,2026-09-11T07:00:00+00:00
VOD,VOD,equity,broker_defined,0.01,15162,15162,0,0,54,355,1689,6960.0,2020-01-02T08:00:00+00:00,2026-09-10T15:00:00+00:00
SAP,SAP,equity,broker_defined,0.01,15328,15328,0,0,49,441,1705,8160.0,2020-01-02T08:00:00+00:00,2026-09-11T07:00:00+00:00
