candidate_id,family,symbol,lookback,entry_z,is_start,is_end,oos_start,oos_end,is_gross_total_return,is_gross_annual_return,is_gross_annual_volatility,is_gross_sharpe,is_gross_max_drawdown,is_gross_calmar,is_net_total_return,is_net_annual_return,is_net_annual_volatility,is_net_sharpe,is_net_max_drawdown,is_net_calmar,is_observation_count,is_trade_count,is_position_change_count,is_total_transaction_cost,is_long_fraction,is_short_fraction,is_flat_fraction,is_top_5_trade_profit_share,oos_gross_total_return,oos_gross_annual_return,oos_gross_annual_volatility,oos_gross_sharpe,oos_gross_max_drawdown,oos_gross_calmar,oos_net_total_return,oos_net_annual_return,oos_net_annual_volatility,oos_net_sharpe,oos_net_max_drawdown,oos_net_calmar,oos_observation_count,oos_trade_count,oos_position_change_count,oos_total_transaction_cost,oos_long_fraction,oos_short_fraction,oos_flat_fraction,oos_top_5_trade_profit_share,neighbor_count,positive_neighbor_count,median_neighbor_sharpe,worst_neighbor_sharpe,performance_pass,sensitivity_pass,layer1_pass,failure_reason,fast_window,slow_window
mean_reversion__ETHUSD__entry_z-1p5__lookback-24,mean_reversion,ETHUSD,24.0,1.5,2020-01-01 22:00:00,2023-12-29 21:00:00,2024-01-01 22:00:00,2026-06-04 23:00:00,-0.9920003520130852,-0.7016857226487592,0.741062922471344,-1.2580784145356276,-0.9927294191680875,-0.7068247491212414,-0.9977451211801589,-0.7827797597755533,0.7410346133786447,-1.686151569990174,-0.9979369249153327,-0.7843980318114455,24908,996,1988,1.2660842715050697,0.33174080616669344,0.37485948289706117,0.2933997109362454,0.047075490939050106,-0.42893107811051945,-0.20642642942755596,0.5676767556997054,-0.12128122234800359,-0.5574314004609637,-0.3703171892664338,-0.6118223902249421,-0.32330029223286283,0.5677943166202211,-0.4017114906950897,-0.6258400976964389,-0.5165860951109564,15097,643,1284,0.3858587103078133,0.3467576339670133,0.34556534410810097,0.3076770219248857,0.06850059510615958,8,0,-0.3983503964013655,-0.8540415133403897,False,False,False,oos_net_sharpe;oos_net_return;positive_neighbor_count;median_neighbor_sharpe;worst_neighbor_sharpe,,
mean_reversion__ETHUSD__entry_z-1p5__lookback-48,mean_reversion,ETHUSD,48.0,1.5,2020-01-01 22:00:00,2023-12-29 21:00:00,2024-01-01 22:00:00,2026-06-04 23:00:00,-0.9775329935543292,-0.6136094200314326,0.750967602565117,-0.887829579046347,-0.9832603306472184,-0.6240559096160547,-0.988659881668449,-0.6744334647407942,0.7509201365752045,-1.1159826017889463,-0.9912522009984844,-0.6803853389293261,24908,535,1067,0.683703851479244,0.3164043680745142,0.3704030833467159,0.3131925485787699,0.07266314254671566,-0.4362011545142056,-0.2106114315044897,0.5840191928251038,-0.11160972216218688,-0.6502709073179376,-0.3238825989819582,-0.5430719714404936,-0.27619469792193285,0.5840748306633544,-0.2600363210786884,-0.6938090051301635,-0.39808462542240536,15097,356,710,0.21008005748594338,0.3486785454063721,0.34496919917864477,0.3063522554149831,0.0832255233086681,8,0,-0.25951449585048325,-0.48266836915353567,False,False,False,oos_net_sharpe;oos_net_return;positive_neighbor_count;median_neighbor_sharpe,,
mean_reversion__ETHUSD__entry_z-1p5__lookback-96,mean_reversion,ETHUSD,96.0,1.5,2020-01-01 22:00:00,2023-12-29 21:00:00,2024-01-01 22:00:00,2026-06-04 23:00:00,-0.9622931904833129,-0.5600913917644603,0.777493321017051,-0.6611448829802473,-0.9771870643612653,-0.573167013964273,-0.9739034783114239,-0.5988379841468403,0.7775369320211503,-0.7796244514602046,-0.9828691459100419,-0.6092753919875816,24908,288,576,0.36783689350616455,0.308856592259515,0.3963786735185483,0.2947647342219367,0.11396051644556944,-0.686146213490217,-0.38012632325120743,0.5869916863429347,-0.519505685575463,-0.8006162083504149,-0.4747921904234459,-0.7187427468038468,-0.4075533096877554,0.5870322969010966,-0.5965132582578844,-0.8184133369053728,-0.49797979982684204,15097,186,371,0.10959015943061959,0.3498045969397894,0.3358283102603166,0.314367092799894,0.11323013239158437,8,0,-0.6142909879742908,-0.813371805027811,False,False,False,oos_net_sharpe;oos_net_return;positive_neighbor_count;median_neighbor_sharpe;worst_neighbor_sharpe,,
mean_reversion__ETHUSD__entry_z-2__lookback-24,mean_reversion,ETHUSD,24.0,2.0,2020-01-01 22:00:00,2023-12-29 21:00:00,2024-01-01 22:00:00,2026-06-04 23:00:00,-0.9919767678722089,-0.7014656383344066,0.6918526262686373,-1.397481484122653,-0.9928426237481652,-0.7065224855941856,-0.9969598480014151,-0.7658948344730585,0.6919108465821044,-1.7485835517699977,-0.9972576488042036,-0.7680009628318532,24908,766,1529,0.9700270430444287,0.2785450457684278,0.3149991970451261,0.4064557571864461,0.056893112530361126,-0.2540718213817861,-0.11394022587834374,0.529419445814996,0.03825553561209754,-0.49509694307846563,-0.2301372033724835,-0.45071482328474155,-0.21906200465940173,0.5295190277185692,-0.2001372847294631,-0.5399720255866371,-0.40569139562629764,15097,502,1002,0.30586876411658814,0.28144664502881367,0.29045505729615156,0.42809829767503477,0.08073351121036641,2,0,-0.2697247265767776,-0.3733883538882368,False,False,False,oos_net_sharpe;oos_net_return;positive_neighbor_count;median_neighbor_sharpe,,
mean_reversion__ETHUSD__entry_z-2__lookback-48,mean_reversion,ETHUSD,48.0,2.0,2020-01-01 22:00:00,2023-12-29 21:00:00,2024-01-01 22:00:00,2026-06-04 23:00:00,-0.9807198372753194,-0.6281367578151649,0.7031405806764321,-1.0516014313785522,-0.9848873297058746,-0.6377752448117602,-0.9886787473797044,-0.6745692371096736,0.7033016717284781,-1.2408041310220763,-0.9908477059389506,-0.6808001200047549,24908,420,838,0.531834374280661,0.26027782238638186,0.32559820138108236,0.4141239762325357,0.08875664511481288,-0.6398986850898039,-0.34394563019852975,0.5489589039609838,-0.4918823406037787,-0.7410123555888688,-0.4641564038769671,-0.6943061869010756,-0.3868288763838913,0.5490100481789231,-0.6149045768646354,-0.7746108255842539,-0.4993848053854964,15097,263,524,0.16371901967502905,0.29237596873551036,0.28601708948797777,0.42160694177651187,0.1092287838674988,2,0,-0.4853063624438286,-0.5530573580710055,False,False,False,oos_net_sharpe;oos_net_return;positive_neighbor_count;median_neighbor_sharpe;worst_neighbor_sharpe,,
mean_reversion__ETHUSD__entry_z-2__lookback-96,mean_reversion,ETHUSD,96.0,2.0,2020-01-01 22:00:00,2023-12-29 21:00:00,2024-01-01 22:00:00,2026-06-04 23:00:00,-0.9739265840421345,-0.5989269956520087,0.7462468822386579,-0.8443048926940189,-0.9805607406533182,-0.61080050507933,-0.9805061189697829,-0.6271083550822303,0.7462828357023422,-0.9418338963377381,-0.9844389483782657,-0.6370210728814714,24908,221,442,0.29065193553247803,0.2624056528023125,0.3473181307210535,0.390276216476634,0.1458262804149994,-0.7549423953301565,-0.44029962210778795,0.5620063195548504,-0.7498411472546705,-0.8323833364461735,-0.5289625618739908,-0.7746551865348882,-0.4593389457858521,0.5620706267925634,-0.8112569454582186,-0.8440487438012081,-0.5442090272147084,15097,143,285,0.08376270926993855,0.30787573690137116,0.2899913890176856,0.4021328740809432,0.15867316806159826,2,0,-0.6213318332017517,-0.6392689358352867,False,False,False,oos_net_sharpe;oos_net_return;positive_neighbor_count;median_neighbor_sharpe;worst_neighbor_sharpe,,
mean_reversion__SPXUSD__entry_z-1p5__lookback-24,mean_reversion,SPXUSD,24.0,1.5,2020-01-01 23:00:00,2023-12-29 21:00:00,2024-01-01 23:00:00,2026-05-22 08:00:00,0.1475442926770174,0.035080115927807576,0.18086622589022663,0.2808385966415758,-0.22505819214584022,0.15587131307388832,-0.04267402939514264,-0.010866419633249413,0.18088818155990596,0.029816997777075083,-0.29917514286533964,-0.03632126495930328,23953,1017,2026,0.18121943903187748,0.31595207280925147,0.403999499018912,0.2800484281718365,0.07266280879456063,0.16360910145380303,0.06557505332954117,0.12898909943499778,0.5568693648055724,-0.12561512092244598,0.5220315265232026,0.058345819871414184,0.02405440544643156,0.12900138531697958,0.2487296372403102,-0.12606637225695838,0.1908074692385213,14270,629,1256,0.09481612114235548,0.30644709180098106,0.4145760336370007,0.2789768745620182,0.06215270453200735,8,4,0.05291534629058926,-0.41471948846654116,False,True,False,oos_net_sharpe,,
mean_reversion__SPXUSD__entry_z-1p5__lookback-48,mean_reversion,SPXUSD,48.0,1.5,2020-01-01 23:00:00,2023-12-29 21:00:00,2024-01-01 23:00:00,2026-05-22 08:00:00,-0.06377169790931203,-0.016373296819381378,0.18702287877570897,0.005118149535449909,-0.2670067137826405,-0.06132166711249899,-0.15288684595798696,-0.04071587517248709,0.18704727169154836,-0.12882951979483992,-0.29683226800490436,-0.13716795497386547,23953,560,1118,0.10000618293125058,0.31950068884899596,0.4197386548657788,0.2607606562852252,0.08828543312847296,0.10967295376905462,0.04458592006025097,0.13970883311085808,0.38173715747210135,-0.16543947551677596,0.26949988762343396,0.055326749860424185,0.022828903713066673,0.1397305073611418,0.23106399067286382,-0.17914496702706662,0.1274325709056482,14270,334,666,0.05020781439767828,0.29593552908199017,0.43587946741415556,0.2681850035038542,0.18330956857038472,8,5,0.1540666153518764,-0.17925021613060066,False,True,False,oos_net_sharpe,,
mean_reversion__SPXUSD__entry_z-1p5__lookback-96,mean_reversion,SPXUSD,96.0,1.5,2020-01-01 23:00:00,2023-12-29 21:00:00,2024-01-01 23:00:00,2026-05-22 08:00:00,-0.13210250409798407,-0.034872754945426965,0.19921677534213042,-0.07867956103905564,-0.23060070473875627,-0.15122570845971062,-0.17848275676000958,-0.04806120386381829,0.19922902585577623,-0.14772409851090046,-0.24983225682108046,-0.1923738930887445,23953,309,616,0.054910429707899014,0.30797812382582557,0.4439109923600384,0.248110883814136,0.08064271902420435,0.037446149548904684,0.01552871287631552,0.13841702711030443,0.1802175184555348,-0.257616140395864,0.06027849362409294,0.009173992279098542,0.003835221445843473,0.13841904013345604,0.09654727180034046,-0.2643785364548119,0.014506553736441448,14270,185,368,0.02762918978540322,0.2678346180798879,0.47351086194814296,0.25865451997196914,0.09335647142201266,8,5,0.12422946245332922,-0.07150853518855212,False,True,False,oos_net_sharpe,,
mean_reversion__SPXUSD__entry_z-2__lookback-24,mean_reversion,SPXUSD,24.0,2.0,2020-01-01 23:00:00,2023-12-29 21:00:00,2024-01-01 23:00:00,2026-05-22 08:00:00,0.2988382528975211,0.06769892835759084,0.16818409525013805,0.4733385173560287,-0.211152212599108,0.32061671305393097,0.12622363597029018,0.030228249916703698,0.16819410091001055,0.26091385243670673,-0.24731554495214603,0.12222543440426549,23953,799,1594,0.14259378768088007,0.27311818978833546,0.33857971861562225,0.38830209159604223,0.09211557040167855,0.19560395753753856,0.07775961932309561,0.1191880954325104,0.6878502199176992,-0.1256151209224463,0.6190307245821443,0.10934350008634297,0.04445591324715359,0.11920604718401481,0.42445055232225626,-0.1256151209224461,0.35390574733913094,14270,498,994,0.07487857205488593,0.2657323055360897,0.3492641906096706,0.38500350385423965,0.08275501276598726,2,0,-0.01794659784154827,-0.05613597376990963,True,False,False,positive_neighbor_count;median_neighbor_sharpe,,
