candidate_id,family,symbol,lookback,entry_z,walkforward_first_test_start,walkforward_last_test_end,layer2_planned_folds,walkforward_gross_total_return,walkforward_gross_annual_return,walkforward_gross_annual_volatility,walkforward_gross_sharpe,walkforward_gross_max_drawdown,walkforward_gross_calmar,walkforward_net_total_return,walkforward_net_annual_return,walkforward_net_annual_volatility,walkforward_net_sharpe,walkforward_net_max_drawdown,walkforward_net_calmar,walkforward_window_count,walkforward_positive_window_count,walkforward_positive_window_fraction,walkforward_total_test_trades,walkforward_median_window_sharpe,walkforward_worst_window_sharpe,walkforward_best_window_sharpe,walkforward_median_window_return,walkforward_worst_window_return,walkforward_total_transaction_cost,walkforward_aggregate_max_drawdown,walkforward_observation_count,layer2_completed_folds,layer2_oos_total_trades,layer2_profitable_fold_share,layer2_parameter_selection_unique_count,layer2_parameter_selection_mode_share,layer2_selected_parameters_by_fold,layer2_fallback_fold_count,layer2_failed_criteria,layer2_primary_failure_reason,layer2_pass,failure_reason,fast_window,slow_window
mean_reversion__SPXUSD__entry_z-2__lookback-48,mean_reversion,SPXUSD,48.0,2.0,2021-12-29 23:00:00,2025-12-24 23:00:00,8,-0.011321958329532755,-0.0028527423832586107,0.13955330634692134,0.04923490438488612,-0.17877509897384591,-0.015957157342566794,-0.07064162302899524,-0.01821284221195385,0.1395641649494369,-0.0619889684583287,-0.19205636043966545,-0.09483071620361888,8,3,0.375,385,-0.35998624433627574,-1.569668968413784,1.9303862687804094,-0.04178485865131676,-0.0725495364660178,0.06186798639095249,-0.19205636043966545,23673,8,385,0.375,2,0.875,"{""1"":""{\""entry_z\"":2.0,\""lookback\"":58}"",""2"":""{\""entry_z\"":2.0,\""lookback\"":58}"",""3"":""{\""entry_z\"":2.0,\""lookback\"":58}"",""4"":""{\""entry_z\"":2.0,\""lookback\"":58}"",""5"":""{\""entry_z\"":2.0,\""lookback\"":58}"",""6"":""{\""entry_z\"":2.0,\""lookback\"":58}"",""7"":""{\""entry_z\"":2.0,\""lookback\"":58}"",""8"":""{\""entry_z\"":2.0,\""lookback\"":38}""}",0,minimum_oos_return;minimum_oos_sharpe;minimum_profitable_fold_share,minimum_oos_return,False,minimum_oos_return;minimum_oos_sharpe;minimum_profitable_fold_share,,
mean_reversion__SPXUSD__entry_z-2__lookback-96,mean_reversion,SPXUSD,96.0,2.0,2021-12-29 23:00:00,2025-12-24 23:00:00,8,0.04792223090871106,0.011813445067429873,0.14273004992850183,0.1534504914470629,-0.28391449007459324,0.04160916571861517,0.0147292571640667,0.0036752741208048167,0.14273820410988153,0.09687313657275938,-0.29152381933148375,0.012607114331970806,8,5,0.625,200,0.6812563541266825,-2.6113609331768615,2.174269978760992,0.038739885866620694,-0.12313341157243929,0.032182855617959485,-0.29152381933148375,23673,8,200,0.625,2,0.875,"{""1"":""{\""entry_z\"":2,\""lookback\"":96}"",""2"":""{\""entry_z\"":2.0,\""lookback\"":115}"",""3"":""{\""entry_z\"":2.0,\""lookback\"":115}"",""4"":""{\""entry_z\"":2.0,\""lookback\"":115}"",""5"":""{\""entry_z\"":2.0,\""lookback\"":115}"",""6"":""{\""entry_z\"":2.0,\""lookback\"":115}"",""7"":""{\""entry_z\"":2.0,\""lookback\"":115}"",""8"":""{\""entry_z\"":2.0,\""lookback\"":115}""}",0,minimum_oos_sharpe,minimum_oos_sharpe,False,minimum_oos_sharpe,,
mean_reversion__USDJPY__entry_z-1p5__lookback-24,mean_reversion,USDJPY,24.0,1.5,2021-12-29 22:00:00,2025-12-24 22:00:00,8,-0.21140613455069868,-0.05784131687537786,0.08692425697884898,-0.6420280178003945,-0.23944431599246963,-0.2415647940341876,-0.30232330461525525,-0.08635347604359045,0.08695979229468025,-0.9951068845643127,-0.3095203568494621,-0.2789912654617066,8,0,0.0,792,-1.1698874520487754,-2.064463574241517,-0.28693265545103314,-0.04539406397704571,-0.07212550641953219,0.12248179057348674,-0.3095203568494621,24866,8,792,0.0,3,0.75,"{""1"":""{\""entry_z\"":1.8,\""lookback\"":29}"",""2"":""{\""entry_z\"":1.8,\""lookback\"":29}"",""3"":""{\""entry_z\"":1.8,\""lookback\"":29}"",""4"":""{\""entry_z\"":1.8,\""lookback\"":29}"",""5"":""{\""entry_z\"":1.8,\""lookback\"":29}"",""6"":""{\""entry_z\"":1.8,\""lookback\"":29}"",""7"":""{\""entry_z\"":1.5,\""lookback\"":24}"",""8"":""{\""entry_z\"":1.8,\""lookback\"":24}""}",0,minimum_oos_return;minimum_oos_sharpe;minimum_profitable_fold_share,minimum_oos_return,False,minimum_oos_return;minimum_oos_sharpe;minimum_profitable_fold_share,,
mean_reversion__USDJPY__entry_z-1p5__lookback-48,mean_reversion,USDJPY,48.0,1.5,2021-12-29 22:00:00,2025-12-24 22:00:00,8,-0.21846518197382703,-0.05996416720623543,0.09098043730721199,-0.6342435162971002,-0.23330574577811092,-0.25701967607461024,-0.2829499455229981,-0.08005403663648802,0.09100920790741215,-0.871383604618938,-0.28711925614034806,-0.27881806923237656,8,2,0.25,561,-0.7708267898856638,-2.6657006493598687,0.3833482536870067,-0.03312590392055503,-0.09936194252658481,0.08610256224777213,-0.28711925614034806,24866,8,561,0.25,4,0.375,"{""1"":""{\""entry_z\"":1.2,\""lookback\"":38}"",""2"":""{\""entry_z\"":1.2,\""lookback\"":38}"",""3"":""{\""entry_z\"":1.2,\""lookback\"":38}"",""4"":""{\""entry_z\"":1.5,\""lookback\"":38}"",""5"":""{\""entry_z\"":1.8,\""lookback\"":58}"",""6"":""{\""entry_z\"":1.8,\""lookback\"":58}"",""7"":""{\""entry_z\"":1.8,\""lookback\"":58}"",""8"":""{\""entry_z\"":1.8,\""lookback\"":48}""}",0,minimum_oos_return;minimum_oos_sharpe;minimum_profitable_fold_share,minimum_oos_return,False,minimum_oos_return;minimum_oos_sharpe;minimum_profitable_fold_share,,
mean_reversion__USDJPY__entry_z-1p5__lookback-96,mean_reversion,USDJPY,96.0,1.5,2021-12-29 22:00:00,2025-12-24 22:00:00,8,-0.11552123693213989,-0.030326113927832132,0.088713167540884,-0.30284278112500285,-0.19427342647906698,-0.15610016499657395,-0.14935151837782756,-0.03976679958031981,0.08873572833266118,-0.4129984679496018,-0.22129108072040837,-0.17970358069046366,8,4,0.5,255,-0.19485250032365037,-2.6039484891725975,1.0664671710240778,-0.011082151040737676,-0.09389422964639604,0.03899129154109337,-0.22129108072040837,24866,8,255,0.5,4,0.5,"{""1"":""{\""entry_z\"":1.5,\""lookback\"":115}"",""2"":""{\""entry_z\"":1.5,\""lookback\"":115}"",""3"":""{\""entry_z\"":1.5,\""lookback\"":96}"",""4"":""{\""entry_z\"":1.5,\""lookback\"":96}"",""5"":""{\""entry_z\"":1.5,\""lookback\"":96}"",""6"":""{\""entry_z\"":1.5,\""lookback\"":96}"",""7"":""{\""entry_z\"":1.8,\""lookback\"":96}"",""8"":""{\""entry_z\"":1.8,\""lookback\"":115}""}",0,minimum_oos_return;minimum_oos_sharpe,minimum_oos_return,False,minimum_oos_return;minimum_oos_sharpe,,
mean_reversion__USDJPY__entry_z-2__lookback-24,mean_reversion,USDJPY,24.0,2.0,2021-12-29 22:00:00,2025-12-24 22:00:00,8,-0.21391451723613053,-0.05859402017355542,0.08329024375028457,-0.6833525518455449,-0.23219621593287942,-0.25234700719883,-0.2893216955010415,-0.08211164859928322,0.08331728342276466,-0.9867430789040295,-0.29439607016394287,-0.2789155730018984,8,0,0.0,657,-1.0024734341947557,-2.354163006050969,-0.12673612721030347,-0.040281714054090534,-0.07947270982026822,0.10083543747701663,-0.29439607016394287,24866,8,657,0.0,1,1.0,"{""1"":""{\""entry_z\"":2.0,\""lookback\"":29}"",""2"":""{\""entry_z\"":2.0,\""lookback\"":29}"",""3"":""{\""entry_z\"":2.0,\""lookback\"":29}"",""4"":""{\""entry_z\"":2.0,\""lookback\"":29}"",""5"":""{\""entry_z\"":2.0,\""lookback\"":29}"",""6"":""{\""entry_z\"":2.0,\""lookback\"":29}"",""7"":""{\""entry_z\"":2.0,\""lookback\"":29}"",""8"":""{\""entry_z\"":2.0,\""lookback\"":29}""}",0,minimum_oos_return;minimum_oos_sharpe;minimum_profitable_fold_share,minimum_oos_return,False,minimum_oos_return;minimum_oos_sharpe;minimum_profitable_fold_share,,
mean_reversion__USDJPY__entry_z-2__lookback-48,mean_reversion,USDJPY,48.0,2.0,2021-12-29 22:00:00,2025-12-24 22:00:00,8,-0.13990485795900265,-0.03710271787462893,0.08472290172881113,-0.40395547179022234,-0.20867540139609453,-0.17780110940916743,-0.19186906933757575,-0.05203928535017932,0.08474435158542297,-0.5883107767960686,-0.2405608189077756,-0.21632485949480307,8,1,0.125,395,-0.5115671865935778,-2.6743368219906296,0.7741288990841283,-0.022456516608691524,-0.0937456326379622,0.06231117226300261,-0.2405608189077756,24866,8,395,0.125,3,0.75,"{""1"":""{\""entry_z\"":2,\""lookback\"":48}"",""2"":""{\""entry_z\"":2.0,\""lookback\"":58}"",""3"":""{\""entry_z\"":2.0,\""lookback\"":38}"",""4"":""{\""entry_z\"":2.0,\""lookback\"":58}"",""5"":""{\""entry_z\"":2.0,\""lookback\"":58}"",""6"":""{\""entry_z\"":2.0,\""lookback\"":58}"",""7"":""{\""entry_z\"":2.0,\""lookback\"":58}"",""8"":""{\""entry_z\"":2.0,\""lookback\"":58}""}",0,minimum_oos_return;minimum_oos_sharpe;minimum_profitable_fold_share,minimum_oos_return,False,minimum_oos_return;minimum_oos_sharpe;minimum_profitable_fold_share,,
mean_reversion__USDJPY__entry_z-2__lookback-96,mean_reversion,USDJPY,96.0,2.0,2021-12-29 22:00:00,2025-12-24 22:00:00,8,-0.086800620035832,-0.022521387233214618,0.08473644913764318,-0.22651267857983023,-0.17615040900543255,-0.1278531645789142,-0.11750221591116305,-0.03087139961521057,0.08475330975393991,-0.3276745336456889,-0.18560033478091664,-0.1663326720377487,8,3,0.375,220,-0.31366747384974275,-2.2928747540212924,0.9924442359192817,-0.012350145265202006,-0.08053969338552747,0.03419208497936031,-0.18560033478091664,24866,8,220,0.375,3,0.5,"{""1"":""{\""entry_z\"":2.0,\""lookback\"":115}"",""2"":""{\""entry_z\"":2.0,\""lookback\"":115}"",""3"":""{\""entry_z\"":2.0,\""lookback\"":77}"",""4"":""{\""entry_z\"":2,\""lookback\"":96}"",""5"":""{\""entry_z\"":2,\""lookback\"":96}"",""6"":""{\""entry_z\"":2,\""lookback\"":96}"",""7"":""{\""entry_z\"":2,\""lookback\"":96}"",""8"":""{\""entry_z\"":2.0,\""lookback\"":115}""}",0,minimum_oos_return;minimum_oos_sharpe;minimum_profitable_fold_share,minimum_oos_return,False,minimum_oos_return;minimum_oos_sharpe;minimum_profitable_fold_share,,
mean_reversion__XAUUSD__entry_z-1p5__lookback-24,mean_reversion,XAUUSD,24.0,1.5,2021-12-29 23:00:00,2025-12-24 23:00:00,8,-0.3467169445088224,-0.10130986963057187,0.12787379461686596,-0.7713745269923867,-0.39063220304539903,-0.2593484839210701,-0.4407885166396185,-0.1356925663166345,0.1278756582436182,-1.076414783081424,-0.47569062727590183,-0.28525381526580396,8,2,0.25,901,-1.1812012185424088,-3.09664303141903,0.46089582788300765,-0.08392182309900326,-0.16543413761809977,0.15547839492437643,-0.47569062727590183,24201,8,901,0.25,4,0.5,"{""1"":""{\""entry_z\"":1.2,\""lookback\"":19}"",""2"":""{\""entry_z\"":1.8,\""lookback\"":29}"",""3"":""{\""entry_z\"":1.5,\""lookback\"":29}"",""4"":""{\""entry_z\"":1.8,\""lookback\"":29}"",""5"":""{\""entry_z\"":1.8,\""lookback\"":29}"",""6"":""{\""entry_z\"":1.8,\""lookback\"":29}"",""7"":""{\""entry_z\"":1.5,\""lookback\"":24}"",""8"":""{\""entry_z\"":1.5,\""lookback\"":24}""}",0,maximum_drawdown;minimum_oos_return;minimum_oos_sharpe;minimum_profitable_fold_share,maximum_drawdown,False,maximum_drawdown;minimum_oos_return;minimum_oos_sharpe;minimum_profitable_fold_share,,
mean_reversion__XAUUSD__entry_z-1p5__lookback-48,mean_reversion,XAUUSD,48.0,1.5,2021-12-29 23:00:00,2025-12-24 23:00:00,8,-0.27238581995429834,-0.0766810038390201,0.1270135960214793,-0.5646153374699029,-0.3996399251293994,-0.19187523322198494,-0.3284425612633888,-0.09506761341382441,0.12702881533021487,-0.7228760914297979,-0.42587062914392404,-0.22323120428597595,8,2,0.25,483,-0.6209546330295341,-2.293433285501152,0.8948379498861007,-0.048633446902862754,-0.16207969672630218,0.08016228286787189,-0.42587062914392404,24201,8,483,0.25,3,0.625,"{""1"":""{\""entry_z\"":1.8,\""lookback\"":58}"",""2"":""{\""entry_z\"":1.8,\""lookback\"":58}"",""3"":""{\""entry_z\"":1.8,\""lookback\"":48}"",""4"":""{\""entry_z\"":1.8,\""lookback\"":48}"",""5"":""{\""entry_z\"":1.8,\""lookback\"":48}"",""6"":""{\""entry_z\"":1.8,\""lookback\"":48}"",""7"":""{\""entry_z\"":1.8,\""lookback\"":48}"",""8"":""{\""entry_z\"":1.2,\""lookback\"":48}""}",0,maximum_drawdown;minimum_oos_return;minimum_oos_sharpe;minimum_profitable_fold_share,maximum_drawdown,False,maximum_drawdown;minimum_oos_return;minimum_oos_sharpe;minimum_profitable_fold_share,,
