candidate_id,family,symbol,lookback,entry_z,walkforward_first_test_start,walkforward_last_test_end,layer2_planned_folds,walkforward_gross_total_return,walkforward_gross_annual_return,walkforward_gross_annual_volatility,walkforward_gross_sharpe,walkforward_gross_max_drawdown,walkforward_gross_calmar,walkforward_net_total_return,walkforward_net_annual_return,walkforward_net_annual_volatility,walkforward_net_sharpe,walkforward_net_max_drawdown,walkforward_net_calmar,walkforward_window_count,walkforward_positive_window_count,walkforward_positive_window_fraction,walkforward_total_test_trades,walkforward_median_window_sharpe,walkforward_worst_window_sharpe,walkforward_best_window_sharpe,walkforward_median_window_return,walkforward_worst_window_return,walkforward_total_transaction_cost,walkforward_aggregate_max_drawdown,walkforward_observation_count,layer2_completed_folds,layer2_oos_total_trades,layer2_profitable_fold_share,layer2_parameter_selection_unique_count,layer2_parameter_selection_mode_share,layer2_selected_parameters_by_fold,layer2_fallback_fold_count,layer2_failed_criteria,layer2_primary_failure_reason,layer2_pass,failure_reason,fast_window,slow_window
mean_reversion__XAUUSD__entry_z-1p5__lookback-96,mean_reversion,XAUUSD,96.0,1.5,2021-12-29 23:00:00,2025-12-24 23:00:00,8,-0.39495222185549184,-0.11843924777136194,0.13133101800553376,-0.8942086820416675,-0.43879950401112533,-0.26991654887640676,-0.4259216492218164,-0.12998405461567808,0.13133219466828963,-0.9945714825949429,-0.45711727923380185,-0.2843560296682531,8,2,0.25,324,-0.9900978566640375,-3.101529371474381,1.356750902677826,-0.07379633049870898,-0.1753778727453874,0.05253970675340977,-0.45711727923380185,24201,8,324,0.25,4,0.5,"{""1"":""{\""entry_z\"":1.5,\""lookback\"":115}"",""2"":""{\""entry_z\"":1.2,\""lookback\"":115}"",""3"":""{\""entry_z\"":1.2,\""lookback\"":77}"",""4"":""{\""entry_z\"":1.2,\""lookback\"":77}"",""5"":""{\""entry_z\"":1.2,\""lookback\"":77}"",""6"":""{\""entry_z\"":1.2,\""lookback\"":77}"",""7"":""{\""entry_z\"":1.8,\""lookback\"":96}"",""8"":""{\""entry_z\"":1.8,\""lookback\"":96}""}",0,maximum_drawdown;minimum_oos_return;minimum_oos_sharpe;minimum_profitable_fold_share,maximum_drawdown,False,maximum_drawdown;minimum_oos_return;minimum_oos_sharpe;minimum_profitable_fold_share,,
mean_reversion__XAUUSD__entry_z-2__lookback-24,mean_reversion,XAUUSD,24.0,2.0,2021-12-29 23:00:00,2025-12-24 23:00:00,8,-0.20891044386947,-0.057100546206415026,0.12034808686223443,-0.42836133468658993,-0.33985922859425566,-0.16801234570736076,-0.2981117751932363,-0.084982313378547,0.12034705888835885,-0.6777765939683252,-0.38948419864766215,-0.21819194122281782,8,1,0.125,706,-0.3946094049672857,-2.995836077525469,0.5751006429137808,-0.023058911084890443,-0.15492652050317424,0.11963579354555896,-0.38948419864766215,24201,8,706,0.125,2,0.75,"{""1"":""{\""entry_z\"":2.0,\""lookback\"":29}"",""2"":""{\""entry_z\"":2.0,\""lookback\"":29}"",""3"":""{\""entry_z\"":2.0,\""lookback\"":29}"",""4"":""{\""entry_z\"":2.0,\""lookback\"":29}"",""5"":""{\""entry_z\"":2.0,\""lookback\"":29}"",""6"":""{\""entry_z\"":2.0,\""lookback\"":29}"",""7"":""{\""entry_z\"":2,\""lookback\"":24}"",""8"":""{\""entry_z\"":2,\""lookback\"":24}""}",0,maximum_drawdown;minimum_oos_return;minimum_oos_sharpe;minimum_profitable_fold_share,maximum_drawdown,False,maximum_drawdown;minimum_oos_return;minimum_oos_sharpe;minimum_profitable_fold_share,,
mean_reversion__XAUUSD__entry_z-2__lookback-48,mean_reversion,XAUUSD,48.0,2.0,2021-12-29 23:00:00,2025-12-24 23:00:00,8,-0.28549622580012646,-0.08088352438884616,0.12130398304208993,-0.6346438073309731,-0.4019926956889165,-0.2012064528939555,-0.33318301654176263,-0.09667453794900005,0.12131325814533199,-0.7774362694944134,-0.4257453817429404,-0.2270712545447431,8,2,0.25,418,-0.9308228477610443,-2.4320790458622987,1.6587787560156277,-0.05111724168399945,-0.1472834722761046,0.06906692260424566,-0.4257453817429404,24201,8,418,0.25,2,0.625,"{""1"":""{\""entry_z\"":2.0,\""lookback\"":58}"",""2"":""{\""entry_z\"":2.0,\""lookback\"":58}"",""3"":""{\""entry_z\"":2.0,\""lookback\"":58}"",""4"":""{\""entry_z\"":2,\""lookback\"":48}"",""5"":""{\""entry_z\"":2,\""lookback\"":48}"",""6"":""{\""entry_z\"":2,\""lookback\"":48}"",""7"":""{\""entry_z\"":2,\""lookback\"":48}"",""8"":""{\""entry_z\"":2,\""lookback\"":48}""}",0,maximum_drawdown;minimum_oos_return;minimum_oos_sharpe;minimum_profitable_fold_share,maximum_drawdown,False,maximum_drawdown;minimum_oos_return;minimum_oos_sharpe;minimum_profitable_fold_share,,
mean_reversion__XAUUSD__entry_z-2__lookback-96,mean_reversion,XAUUSD,96.0,2.0,2021-12-29 23:00:00,2025-12-24 23:00:00,8,-0.350456702110703,-0.10260339912764382,0.12158034673939166,-0.8296400241503866,-0.3844543028792272,-0.26688061067136953,-0.3751337208964768,-0.11128170440840979,0.1215767938984109,-0.9095958937547123,-0.40151362186626016,-0.2771554894978794,8,3,0.375,235,-1.1652269642427953,-2.8866635556363613,0.9100175766300154,-0.06829321456398907,-0.17015985099470265,0.03873275004043149,-0.40151362186626016,24201,8,235,0.375,2,0.625,"{""1"":""{\""entry_z\"":2.0,\""lookback\"":77}"",""2"":""{\""entry_z\"":2.0,\""lookback\"":77}"",""3"":""{\""entry_z\"":2,\""lookback\"":96}"",""4"":""{\""entry_z\"":2.0,\""lookback\"":77}"",""5"":""{\""entry_z\"":2,\""lookback\"":96}"",""6"":""{\""entry_z\"":2,\""lookback\"":96}"",""7"":""{\""entry_z\"":2,\""lookback\"":96}"",""8"":""{\""entry_z\"":2,\""lookback\"":96}""}",0,maximum_drawdown;minimum_oos_return;minimum_oos_sharpe;minimum_profitable_fold_share,maximum_drawdown,False,maximum_drawdown;minimum_oos_return;minimum_oos_sharpe;minimum_profitable_fold_share,,
trend__ETHUSD__fast_window-12__slow_window-120,trend,ETHUSD,,,2021-12-29 22:00:00,2025-12-24 22:00:00,8,0.9111459066223684,0.1764323976123967,0.6657158192438679,0.5762073849767589,-0.572482305799767,0.3081883856059408,0.38849226258451197,0.08582357143536035,0.6657684598250315,0.4558299884366057,-0.5989729422602956,0.14328455491076925,8,4,0.5,391,0.5073400181577798,-0.8653403379663465,1.4247158414371939,0.07791220837562451,-0.3147688126343722,0.3193467397820415,-0.5989729422602956,24837,8,391,0.5,4,0.5,"{""1"":""{\""fast_window\"":10,\""slow_window\"":144}"",""2"":""{\""fast_window\"":10,\""slow_window\"":144}"",""3"":""{\""fast_window\"":10,\""slow_window\"":144}"",""4"":""{\""fast_window\"":10,\""slow_window\"":120}"",""5"":""{\""fast_window\"":10,\""slow_window\"":120}"",""6"":""{\""fast_window\"":10,\""slow_window\"":96}"",""7"":""{\""fast_window\"":10,\""slow_window\"":144}"",""8"":""{\""fast_window\"":12,\""slow_window\"":120}""}",0,maximum_drawdown,maximum_drawdown,False,maximum_drawdown,12.0,120.0
trend__ETHUSD__fast_window-12__slow_window-240,trend,ETHUSD,,,2021-12-29 22:00:00,2025-12-24 22:00:00,8,1.1195636974766106,0.20738019653006057,0.6501624055197474,0.6141890825261089,-0.6074581040105687,0.34139012248069794,0.7340986636934768,0.14808863014763318,0.6502059918120182,0.5367475065527094,-0.6458449606750898,0.22929439596902465,8,5,0.625,231,0.8185982140519998,-1.7118480212765657,1.9296655418498372,0.1655940372700091,-0.33381386066477436,0.20061015666489718,-0.6458449606750898,24837,8,231,0.625,3,0.625,"{""1"":""{\""fast_window\"":14,\""slow_window\"":288}"",""2"":""{\""fast_window\"":10,\""slow_window\"":240}"",""3"":""{\""fast_window\"":10,\""slow_window\"":288}"",""4"":""{\""fast_window\"":10,\""slow_window\"":240}"",""5"":""{\""fast_window\"":10,\""slow_window\"":288}"",""6"":""{\""fast_window\"":10,\""slow_window\"":288}"",""7"":""{\""fast_window\"":10,\""slow_window\"":288}"",""8"":""{\""fast_window\"":10,\""slow_window\"":288}""}",0,maximum_drawdown,maximum_drawdown,False,maximum_drawdown,12.0,240.0
trend__ETHUSD__fast_window-12__slow_window-72,trend,ETHUSD,,,2021-12-29 22:00:00,2025-12-24 22:00:00,8,0.2139760079719364,0.049845585143755144,0.6690513818691479,0.40654778512994005,-0.7451838945505453,0.06689031460324207,-0.20664294974104302,-0.05641692609484805,0.6690371379877316,0.24704248293519687,-0.7671565666002427,-0.07354030265929579,8,4,0.5,520,0.5811381098164845,-2.3718337075537312,1.8952997654023402,0.10277433551060056,-0.678468348143161,0.42540994476697924,-0.7671565666002427,24837,8,520,0.5,3,0.75,"{""1"":""{\""fast_window\"":12,\""slow_window\"":72}"",""2"":""{\""fast_window\"":10,\""slow_window\"":86}"",""3"":""{\""fast_window\"":10,\""slow_window\"":86}"",""4"":""{\""fast_window\"":10,\""slow_window\"":86}"",""5"":""{\""fast_window\"":10,\""slow_window\"":86}"",""6"":""{\""fast_window\"":10,\""slow_window\"":86}"",""7"":""{\""fast_window\"":14,\""slow_window\"":58}"",""8"":""{\""fast_window\"":10,\""slow_window\"":86}""}",0,maximum_drawdown;minimum_oos_return;minimum_oos_sharpe,maximum_drawdown,False,maximum_drawdown;minimum_oos_return;minimum_oos_sharpe,12.0,72.0
trend__ETHUSD__fast_window-24__slow_window-120,trend,ETHUSD,,,2021-12-29 22:00:00,2025-12-24 22:00:00,8,0.5481885189734945,0.11588718543495324,0.6665477972115508,0.4970364078891402,-0.5766248826909481,0.20097499936898308,0.22755063909053574,0.0527783256568739,0.6664545987845693,0.4096629131931212,-0.6418344609915632,0.08223043302370714,8,5,0.625,269,0.4076498454938265,-0.6846084179370805,1.5394808882623388,0.04716294539208099,-0.3241798510157725,0.23230274762361353,-0.6418344609915632,24837,8,269,0.625,4,0.375,"{""1"":""{\""fast_window\"":19,\""slow_window\"":96}"",""2"":""{\""fast_window\"":19,\""slow_window\"":96}"",""3"":""{\""fast_window\"":29,\""slow_window\"":144}"",""4"":""{\""fast_window\"":24,\""slow_window\"":144}"",""5"":""{\""fast_window\"":24,\""slow_window\"":144}"",""6"":""{\""fast_window\"":24,\""slow_window\"":144}"",""7"":""{\""fast_window\"":29,\""slow_window\"":120}"",""8"":""{\""fast_window\"":29,\""slow_window\"":144}""}",0,maximum_drawdown,maximum_drawdown,False,maximum_drawdown,24.0,120.0
trend__ETHUSD__fast_window-24__slow_window-240,trend,ETHUSD,,,2021-12-29 22:00:00,2025-12-24 22:00:00,8,0.9212277652836052,0.177986210270892,0.647876744169008,0.5761355172151872,-0.6789276296979846,0.2621578537760611,0.6742954131808132,0.13802497279195203,0.6479188605809824,0.5228743488522748,-0.711784773403782,0.19391391604503047,8,4,0.5,159,0.5121116778948666,-1.3198184842168943,2.0196707885078142,0.05921208303227976,-0.31053394192871986,0.13746259998183646,-0.711784773403782,24837,8,159,0.5,3,0.625,"{""1"":""{\""fast_window\"":29,\""slow_window\"":288}"",""2"":""{\""fast_window\"":29,\""slow_window\"":288}"",""3"":""{\""fast_window\"":29,\""slow_window\"":288}"",""4"":""{\""fast_window\"":19,\""slow_window\"":240}"",""5"":""{\""fast_window\"":19,\""slow_window\"":288}"",""6"":""{\""fast_window\"":19,\""slow_window\"":288}"",""7"":""{\""fast_window\"":29,\""slow_window\"":288}"",""8"":""{\""fast_window\"":29,\""slow_window\"":288}""}",0,maximum_drawdown,maximum_drawdown,False,maximum_drawdown,24.0,240.0
trend__ETHUSD__fast_window-24__slow_window-72,trend,ETHUSD,,,2021-12-29 22:00:00,2025-12-24 22:00:00,8,-0.1563951701900016,-0.04176766169617829,0.6691421265196079,0.27023092323254405,-0.7589777315775835,-0.055031471884374725,-0.3886889619928925,-0.11614600844734957,0.6691206296328249,0.14947483541055243,-0.8152312258397161,-0.14247001926075048,8,4,0.5,395,0.5535361677919762,-2.315300207454667,1.9094133142688006,0.11383024326065361,-0.6708711306059643,0.32210939984518805,-0.8152312258397161,24837,8,395,0.5,4,0.375,"{""1"":""{\""fast_window\"":29,\""slow_window\"":86}"",""2"":""{\""fast_window\"":29,\""slow_window\"":86}"",""3"":""{\""fast_window\"":19,\""slow_window\"":72}"",""4"":""{\""fast_window\"":24,\""slow_window\"":86}"",""5"":""{\""fast_window\"":19,\""slow_window\"":72}"",""6"":""{\""fast_window\"":19,\""slow_window\"":72}"",""7"":""{\""fast_window\"":19,\""slow_window\"":58}"",""8"":""{\""fast_window\"":24,\""slow_window\"":86}""}",0,maximum_drawdown;minimum_oos_return;minimum_oos_sharpe,maximum_drawdown,False,maximum_drawdown;minimum_oos_return;minimum_oos_sharpe,24.0,72.0
trend__SPXUSD__fast_window-12__slow_window-120,trend,SPXUSD,,,2021-12-29 23:00:00,2025-12-24 23:00:00,8,-0.1415045831660542,-0.03755653179367191,0.17807295032336068,-0.12570412146387264,-0.36853799939491894,-0.1019068097600079,-0.18671714115823046,-0.05053245657172345,0.17806424698587484,-0.2019486934606931,-0.37806991883836993,-0.1336590245713962,8,3,0.375,334,-0.5388835041184581,-2.5206617298144507,3.2123970955138113,-0.051374082831644574,-0.17192985414169693,0.054107773586113045,-0.37806991883836993,23673,8,334,0.375,5,0.25,"{""1"":""{\""fast_window\"":12,\""slow_window\"":96}"",""2"":""{\""fast_window\"":12,\""slow_window\"":96}"",""3"":""{\""fast_window\"":10,\""slow_window\"":96}"",""4"":""{\""fast_window\"":12,\""slow_window\"":144}"",""5"":""{\""fast_window\"":12,\""slow_window\"":144}"",""6"":""{\""fast_window\"":10,\""slow_window\"":144}"",""7"":""{\""fast_window\"":10,\""slow_window\"":144}"",""8"":""{\""fast_window\"":14,\""slow_window\"":144}""}",0,maximum_drawdown;minimum_oos_return;minimum_oos_sharpe;minimum_profitable_fold_share,maximum_drawdown,False,maximum_drawdown;minimum_oos_return;minimum_oos_sharpe;minimum_profitable_fold_share,12.0,120.0
trend__SPXUSD__fast_window-12__slow_window-240,trend,SPXUSD,,,2021-12-29 23:00:00,2025-12-24 23:00:00,8,0.13207813857644202,0.03161414627922987,0.17551546610390278,0.26529437607563183,-0.21010337531664336,0.1504694830893826,0.09054147183489647,0.021984276795542712,0.17550775487089537,0.21186131139108746,-0.21715883053969565,0.10123593289255665,8,4,0.5,232,0.05343174833166915,-1.1032071028870514,3.3071956427204774,-0.0012599036291533472,-0.07085575336979721,0.037386096971057735,-0.21715883053969565,23673,8,232,0.5,4,0.375,"{""1"":""{\""fast_window\"":10,\""slow_window\"":192}"",""2"":""{\""fast_window\"":12,\""slow_window\"":240}"",""3"":""{\""fast_window\"":10,\""slow_window\"":192}"",""4"":""{\""fast_window\"":10,\""slow_window\"":192}"",""5"":""{\""fast_window\"":12,\""slow_window\"":240}"",""6"":""{\""fast_window\"":14,\""slow_window\"":288}"",""7"":""{\""fast_window\"":10,\""slow_window\"":288}"",""8"":""{\""fast_window\"":14,\""slow_window\"":288}""}",0,minimum_oos_sharpe,minimum_oos_sharpe,False,minimum_oos_sharpe,12.0,240.0
trend__SPXUSD__fast_window-12__slow_window-72,trend,SPXUSD,,,2021-12-29 23:00:00,2025-12-24 23:00:00,8,-0.162399267917253,-0.04348799494556743,0.1787223545271617,-0.15920126480586394,-0.4006265567742259,-0.10854995558887826,-0.22019275556747375,-0.060492593732506816,0.17871371480150336,-0.2595869528554267,-0.41869840926851754,-0.14447772523948618,8,3,0.375,446,-0.24521220424329337,-2.996121643497095,1.8942100757923568,-0.021461069373686692,-0.20065567030955944,0.07149989248970293,-0.41869840926851754,23673,8,446,0.375,4,0.5,"{""1"":""{\""fast_window\"":12,\""slow_window\"":86}"",""2"":""{\""fast_window\"":12,\""slow_window\"":86}"",""3"":""{\""fast_window\"":12,\""slow_window\"":86}"",""4"":""{\""fast_window\"":12,\""slow_window\"":86}"",""5"":""{\""fast_window\"":12,\""slow_window\"":58}"",""6"":""{\""fast_window\"":12,\""slow_window\"":58}"",""7"":""{\""fast_window\"":10,\""slow_window\"":58}"",""8"":""{\""fast_window\"":10,\""slow_window\"":72}""}",0,maximum_drawdown;minimum_oos_return;minimum_oos_sharpe;minimum_profitable_fold_share,maximum_drawdown,False,maximum_drawdown;minimum_oos_return;minimum_oos_sharpe;minimum_profitable_fold_share,12.0,72.0
trend__SPXUSD__fast_window-24__slow_window-120,trend,SPXUSD,,,2021-12-29 23:00:00,2025-12-24 23:00:00,8,-0.058659857528613246,-0.015052316081754391,0.1777835805569044,0.0037748152952277337,-0.2881242110331922,-0.05224245483494044,-0.0936758422012931,-0.02437553385407054,0.17777274330716203,-0.0497351281354269,-0.2939959258129743,-0.08291112805956724,8,3,0.375,235,-0.22373526697578677,-1.9014146376657115,2.714524737312311,-0.025970250451654242,-0.11182186269594996,0.03791495442119272,-0.2939959258129743,23673,8,235,0.375,5,0.375,"{""1"":""{\""fast_window\"":19,\""slow_window\"":96}"",""2"":""{\""fast_window\"":24,\""slow_window\"":96}"",""3"":""{\""fast_window\"":24,\""slow_window\"":144}"",""4"":""{\""fast_window\"":19,\""slow_window\"":144}"",""5"":""{\""fast_window\"":29,\""slow_window\"":120}"",""6"":""{\""fast_window\"":29,\""slow_window\"":120}"",""7"":""{\""fast_window\"":24,\""slow_window\"":144}"",""8"":""{\""fast_window\"":29,\""slow_window\"":120}""}",0,minimum_oos_return;minimum_oos_sharpe;minimum_profitable_fold_share,minimum_oos_return,False,minimum_oos_return;minimum_oos_sharpe;minimum_profitable_fold_share,24.0,120.0
trend__SPXUSD__fast_window-24__slow_window-240,trend,SPXUSD,,,2021-12-29 23:00:00,2025-12-24 23:00:00,8,0.05496014141313821,0.013514101335363016,0.1761211687450775,0.16446078379839005,-0.28030667820705424,0.04821184219300173,0.025168163448301195,0.006255884268221212,0.17612457938330156,0.12365359436320615,-0.2864918444724135,0.021836168773815116,8,4,0.5,177,0.02869263271368533,-1.2933401467870649,2.51985169644024,-0.0061910408259722716,-0.08433517631280352,0.028643874478906105,-0.2864918444724135,23673,8,177,0.5,3,0.5,"{""1"":""{\""fast_window\"":19,\""slow_window\"":192}"",""2"":""{\""fast_window\"":19,\""slow_window\"":192}"",""3"":""{\""fast_window\"":19,\""slow_window\"":192}"",""4"":""{\""fast_window\"":19,\""slow_window\"":192}"",""5"":""{\""fast_window\"":19,\""slow_window\"":288}"",""6"":""{\""fast_window\"":19,\""slow_window\"":288}"",""7"":""{\""fast_window\"":24,\""slow_window\"":240}"",""8"":""{\""fast_window\"":24,\""slow_window\"":240}""}",0,minimum_oos_sharpe,minimum_oos_sharpe,False,minimum_oos_sharpe,24.0,240.0
trend__SPXUSD__fast_window-24__slow_window-72,trend,SPXUSD,,,2021-12-29 23:00:00,2025-12-24 23:00:00,8,-0.27699728688642933,-0.07815268676301912,0.1786795288194791,-0.365857867968004,-0.40812281678782947,-0.19149305931515292,-0.3123647584890691,-0.0896800468032789,0.17867849114199427,-0.43628478079064087,-0.42276343410258455,-0.21212820118571993,8,3,0.375,309,-0.3681652872449651,-2.7458491658871447,1.8571476960375175,-0.03493285625857495,-0.1874666884514078,0.05015414483103139,-0.42276343410258455,23673,8,309,0.375,3,0.75,"{""1"":""{\""fast_window\"":24,\""slow_window\"":72}"",""2"":""{\""fast_window\"":29,\""slow_window\"":86}"",""3"":""{\""fast_window\"":24,\""slow_window\"":58}"",""4"":""{\""fast_window\"":29,\""slow_window\"":86}"",""5"":""{\""fast_window\"":29,\""slow_window\"":86}"",""6"":""{\""fast_window\"":29,\""slow_window\"":86}"",""7"":""{\""fast_window\"":29,\""slow_window\"":86}"",""8"":""{\""fast_window\"":29,\""slow_window\"":86}""}",0,maximum_drawdown;minimum_oos_return;minimum_oos_sharpe;minimum_profitable_fold_share,maximum_drawdown,False,maximum_drawdown;minimum_oos_return;minimum_oos_sharpe;minimum_profitable_fold_share,24.0,72.0
trend__USDJPY__fast_window-12__slow_window-120,trend,USDJPY,,,2021-12-29 22:00:00,2025-12-24 22:00:00,8,0.0322490863158722,0.007994262167662303,0.10427254372964974,0.12857591023229265,-0.2571409516713469,0.031089027693573325,-0.025795795895074858,-0.006534764875304244,0.10430447691414202,-0.010626567305568133,-0.26994922116221043,-0.024207385548919786,8,4,0.5,352,0.21531628164963174,-2.581574234705261,2.0743031872991518,0.005865478564494597,-0.13951574753037488,0.05786098308099325,-0.26994922116221043,24866,8,352,0.5,3,0.625,"{""1"":""{\""fast_window\"":14,\""slow_window\"":96}"",""2"":""{\""fast_window\"":10,\""slow_window\"":96}"",""3"":""{\""fast_window\"":10,\""slow_window\"":96}"",""4"":""{\""fast_window\"":14,\""slow_window\"":96}"",""5"":""{\""fast_window\"":14,\""slow_window\"":96}"",""6"":""{\""fast_window\"":14,\""slow_window\"":96}"",""7"":""{\""fast_window\"":14,\""slow_window\"":144}"",""8"":""{\""fast_window\"":14,\""slow_window\"":96}""}",0,minimum_oos_return;minimum_oos_sharpe,minimum_oos_return,False,minimum_oos_return;minimum_oos_sharpe,12.0,120.0
trend__USDJPY__fast_window-12__slow_window-240,trend,USDJPY,,,2021-12-29 22:00:00,2025-12-24 22:00:00,8,0.2034107278508268,0.047545953572750044,0.10086631796641925,0.5110146115237167,-0.17214417990759,0.2761984378343406,0.16634636811416503,0.03935698157353529,0.10087524515856466,0.4331787193515787,-0.17550786589416223,0.22424625456541653,8,5,0.625,192,0.3215683766535283,-2.7701276737334344,3.0677828736074217,0.011757030372256061,-0.10050617165846842,0.031280294269867684,-0.17550786589416223,24866,8,192,0.625,3,0.625,"{""1"":""{\""fast_window\"":10,\""slow_window\"":192}"",""2"":""{\""fast_window\"":12,\""slow_window\"":288}"",""3"":""{\""fast_window\"":14,\""slow_window\"":288}"",""4"":""{\""fast_window\"":14,\""slow_window\"":288}"",""5"":""{\""fast_window\"":14,\""slow_window\"":288}"",""6"":""{\""fast_window\"":14,\""slow_window\"":288}"",""7"":""{\""fast_window\"":14,\""slow_window\"":288}"",""8"":""{\""fast_window\"":12,\""slow_window\"":288}""}",0,,,True,,12.0,240.0
trend__USDJPY__fast_window-12__slow_window-72,trend,USDJPY,,,2021-12-29 22:00:00,2025-12-24 22:00:00,8,0.05988521821105186,0.014697464748950395,0.10475914691051542,0.1917391954423326,-0.228562906027154,0.06430380591680213,-0.027349453885286645,-0.0069324679688997914,0.104780224725058,-0.013919220536414149,-0.2524740240831179,-0.027458143442976642,8,3,0.375,514,-0.33926517872570916,-1.4538101684732312,3.5996731086373885,-0.01585111153308827,-0.09500740589943302,0.08588218309977025,-0.2524740240831179,24866,8,514,0.375,4,0.5,"{""1"":""{\""fast_window\"":12,\""slow_window\"":58}"",""2"":""{\""fast_window\"":12,\""slow_window\"":58}"",""3"":""{\""fast_window\"":10,\""slow_window\"":58}"",""4"":""{\""fast_window\"":10,\""slow_window\"":58}"",""5"":""{\""fast_window\"":10,\""slow_window\"":58}"",""6"":""{\""fast_window\"":10,\""slow_window\"":58}"",""7"":""{\""fast_window\"":14,\""slow_window\"":58}"",""8"":""{\""fast_window\"":14,\""slow_window\"":86}""}",0,minimum_oos_return;minimum_oos_sharpe;minimum_profitable_fold_share,minimum_oos_return,False,minimum_oos_return;minimum_oos_sharpe;minimum_profitable_fold_share,12.0,72.0
trend__USDJPY__fast_window-24__slow_window-120,trend,USDJPY,,,2021-12-29 22:00:00,2025-12-24 22:00:00,8,0.1556776610427122,0.036963755836618706,0.10434792867354215,0.40009399908967136,-0.16882300231649194,0.21894975998189437,0.10237320725992705,0.024752074232473387,0.10436909973889782,0.28652989416983626,-0.17434497560746665,0.14197182423084026,8,4,0.5,278,0.22729432705908734,-1.1736543350443902,1.8148747984127038,0.00535719486128966,-0.07552302964599067,0.04721296369529967,-0.17434497560746665,24866,8,278,0.5,2,0.75,"{""1"":""{\""fast_window\"":24,\""slow_window\"":96}"",""2"":""{\""fast_window\"":29,\""slow_window\"":96}"",""3"":""{\""fast_window\"":29,\""slow_window\"":96}"",""4"":""{\""fast_window\"":29,\""slow_window\"":96}"",""5"":""{\""fast_window\"":29,\""slow_window\"":96}"",""6"":""{\""fast_window\"":29,\""slow_window\"":96}"",""7"":""{\""fast_window\"":29,\""slow_window\"":96}"",""8"":""{\""fast_window\"":24,\""slow_window\"":96}""}",0,,,True,,24.0,120.0
trend__USDJPY__fast_window-24__slow_window-240,trend,USDJPY,,,2021-12-29 22:00:00,2025-12-24 22:00:00,8,0.3082080307198689,0.0697202306524396,0.10084147741776289,0.7188072966357912,-0.14312846809805957,0.4871164456582681,0.2759458955294929,0.06304018818901191,0.10084430810349973,0.6566714316813856,-0.14820800127775857,0.42534942543936927,8,4,0.5,148,0.3685874269404359,-1.9624015381678306,3.3522667019304278,0.021410579447732947,-0.07317762446378773,0.024969590115383928,-0.14820800127775857,24866,8,148,0.5,3,0.625,"{""1"":""{\""fast_window\"":19,\""slow_window\"":288}"",""2"":""{\""fast_window\"":19,\""slow_window\"":288}"",""3"":""{\""fast_window\"":29,\""slow_window\"":288}"",""4"":""{\""fast_window\"":29,\""slow_window\"":288}"",""5"":""{\""fast_window\"":19,\""slow_window\"":288}"",""6"":""{\""fast_window\"":19,\""slow_window\"":288}"",""7"":""{\""fast_window\"":19,\""slow_window\"":288}"",""8"":""{\""fast_window\"":29,\""slow_window\"":240}""}",0,,,True,,24.0,240.0
trend__USDJPY__fast_window-24__slow_window-72,trend,USDJPY,,,2021-12-29 22:00:00,2025-12-24 22:00:00,8,0.06204298460024282,0.015215301097947886,0.1047048715395186,0.19665425643878406,-0.23413624971389868,0.06498481596309896,-0.0030434039069255903,-0.0007643575280208426,0.10473391246901044,0.0451462671475095,-0.24806769468413414,-0.003081245742191876,8,4,0.5,381,-0.15760555091265457,-1.47952030073428,3.7022054475462123,-0.008156345110519492,-0.09770270038003492,0.06323030110154651,-0.24806769468413414,24866,8,381,0.5,3,0.625,"{""1"":""{\""fast_window\"":19,\""slow_window\"":58}"",""2"":""{\""fast_window\"":19,\""slow_window\"":58}"",""3"":""{\""fast_window\"":19,\""slow_window\"":58}"",""4"":""{\""fast_window\"":19,\""slow_window\"":58}"",""5"":""{\""fast_window\"":19,\""slow_window\"":58}"",""6"":""{\""fast_window\"":19,\""slow_window\"":86}"",""7"":""{\""fast_window\"":19,\""slow_window\"":86}"",""8"":""{\""fast_window\"":29,\""slow_window\"":86}""}",0,minimum_oos_return;minimum_oos_sharpe,minimum_oos_return,False,minimum_oos_return;minimum_oos_sharpe,24.0,72.0
trend__XAUUSD__fast_window-12__slow_window-120,trend,XAUUSD,,,2021-12-29 23:00:00,2025-12-24 23:00:00,8,0.7464221490326544,0.15014842702487408,0.15088280282558358,1.00261294287405,-0.1834426863928328,0.8185032065183518,0.6433922109717556,0.1327348660047496,0.15087451205272517,0.9015402176176129,-0.19099609105841164,0.6949611652740881,8,6,0.75,351,0.8912716835410408,-0.8494325752792742,2.720458565524193,0.06349473697649333,-0.06753328585571128,0.06081287413811731,-0.19099609105841164,24201,8,351,0.75,4,0.5,"{""1"":""{\""fast_window\"":12,\""slow_window\"":96}"",""2"":""{\""fast_window\"":10,\""slow_window\"":120}"",""3"":""{\""fast_window\"":10,\""slow_window\"":120}"",""4"":""{\""fast_window\"":10,\""slow_window\"":120}"",""5"":""{\""fast_window\"":10,\""slow_window\"":120}"",""6"":""{\""fast_window\"":12,\""slow_window\"":120}"",""7"":""{\""fast_window\"":12,\""slow_window\"":120}"",""8"":""{\""fast_window\"":14,\""slow_window\"":144}""}",0,,,True,,12.0,120.0
