candidate_id,family,symbol,lookback,entry_z,stress_id,stress_type,stress_start,stress_end,market_return,first_observation,last_observation,stress_net_total_return,stress_net_annual_return,stress_net_annual_volatility,stress_net_sharpe,stress_net_max_drawdown,stress_net_calmar,stress_net_observation_count,stress_net_terminal_nav,stress_net_worst_bar_return,stress_transaction_cost,stress_spread_cost,stress_commission_cost,fast_window,slow_window
mean_reversion__ETHUSD__entry_z-1p5__lookback-96,mean_reversion,ETHUSD,96.0,1.5,worst_market_window_3,worst_market_window,2021-05-25,2021-06-23 23:59:59,-0.4428575661501081,2021-05-25 00:00:00,2021-06-23 23:00:00,-0.04200948853859865,-0.40740622224382594,0.9094217247545541,-0.1225539808125657,-0.2944880601897282,-1.3834388463197749,528,0.9579905114614014,-0.0540527848220157,0.004967485641313974,0.004517485641313974,0.00045,,
mean_reversion__ETHUSD__entry_z-2__lookback-24,mean_reversion,ETHUSD,24.0,2.0,march_2020,fixed_historical,2020-03-01,2020-03-31 23:59:59,,2020-03-01 22:00:00,2020-03-31 23:00:00,-0.20998890390874092,-0.943060624907314,1.7653071222176224,-0.70442174505091,-0.5089092059368303,-1.8531019166204155,534,0.7900110960912591,-0.22913931001551857,0.032741241605877144,0.031141241605877147,0.0016,,
mean_reversion__ETHUSD__entry_z-2__lookback-24,mean_reversion,ETHUSD,24.0,2.0,worst_market_window_1,worst_market_window,2020-02-19,2020-03-19 23:59:59,-0.5548631705394349,2020-02-19 00:00:00,2020-03-19 23:00:00,-0.3854656592876732,-0.9973577807126625,1.7755716785197615,-2.4171304383418746,-0.5089092059368305,-1.9597951247053325,530,0.6145343407123268,-0.22913931001551857,0.03096205038862077,0.02946205038862077,0.0015,,
mean_reversion__ETHUSD__entry_z-2__lookback-24,mean_reversion,ETHUSD,24.0,2.0,worst_market_window_2,worst_market_window,2022-05-17,2022-06-15 23:59:59,-0.484228073174902,2022-05-17 00:00:00,2022-06-15 23:00:00,-0.3410336216028931,-0.9938113927991052,0.9490267935715182,-4.873899641883081,-0.4473454053842767,-2.2215750532754566,528,0.6589663783971069,-0.1164786365818532,0.01593915927148716,0.01443915927148716,0.0015,,
mean_reversion__ETHUSD__entry_z-2__lookback-24,mean_reversion,ETHUSD,24.0,2.0,worst_market_window_3,worst_market_window,2021-05-25,2021-06-23 23:59:59,-0.4428575661501081,2021-05-25 00:00:00,2021-06-23 23:00:00,-0.013691380724127677,-0.15471180535000684,0.8954426432858736,0.25753693010318274,-0.24443503504061748,-0.632936294603998,528,0.9863086192758723,-0.0540527848220157,0.016467359545177078,0.014917359545177077,0.0015500000000000002,,
mean_reversion__ETHUSD__entry_z-2__lookback-48,mean_reversion,ETHUSD,48.0,2.0,march_2020,fixed_historical,2020-03-01,2020-03-31 23:59:59,,2020-03-01 22:00:00,2020-03-31 23:00:00,-0.31979893758360933,-0.9907703478998613,1.8316884648427592,-1.6073478818034492,-0.511949337788141,-1.9352898319596419,534,0.6802010624163907,-0.22913931001551857,0.008234018631290932,0.00763401863129093,0.0006000000000000001,,
mean_reversion__ETHUSD__entry_z-2__lookback-48,mean_reversion,ETHUSD,48.0,2.0,worst_market_window_1,worst_market_window,2020-02-19,2020-03-19 23:59:59,-0.5548631705394349,2020-02-19 00:00:00,2020-03-19 23:00:00,-0.36347301962587153,-0.9959435350579158,1.8610161363832503,-1.9943027328174885,-0.505246611989342,-1.9712027976526538,530,0.6365269803741285,-0.22913931001551857,0.008789055761854191,0.008089055761854192,0.0007000000000000001,,
mean_reversion__ETHUSD__entry_z-2__lookback-48,mean_reversion,ETHUSD,48.0,2.0,worst_market_window_2,worst_market_window,2022-05-17,2022-06-15 23:59:59,-0.484228073174902,2022-05-17 00:00:00,2022-06-15 23:00:00,-0.3264308570104152,-0.991915614079165,0.988351307889865,-4.371892272086682,-0.4269681742043552,-2.323160539840178,528,0.6735691429895848,-0.1164786365818532,0.006224531212571355,0.005624531212571355,0.0006000000000000001,,
mean_reversion__ETHUSD__entry_z-2__lookback-48,mean_reversion,ETHUSD,48.0,2.0,worst_market_window_3,worst_market_window,2021-05-25,2021-06-23 23:59:59,-0.4428575661501081,2021-05-25 00:00:00,2021-06-23 23:00:00,-0.03545060081827911,-0.35600122124246425,0.9052672338269026,-0.036348877253853905,-0.30014720548431895,-1.1860887415827144,528,0.9645493991817209,-0.0540527848220157,0.00837403845383095,0.00757403845383095,0.0007999999999999999,,
mean_reversion__ETHUSD__entry_z-2__lookback-96,mean_reversion,ETHUSD,96.0,2.0,march_2020,fixed_historical,2020-03-01,2020-03-31 23:59:59,,2020-03-01 22:00:00,2020-03-31 23:00:00,-0.22600140970908023,-0.9556094700935912,1.875915342951298,-0.6892830237066635,-0.52992440656748,-1.803293938249483,534,0.7739985902909198,-0.22913931001551857,0.00637567374951607,0.00592567374951607,0.00045,,
mean_reversion__ETHUSD__entry_z-2__lookback-96,mean_reversion,ETHUSD,96.0,2.0,worst_market_window_1,worst_market_window,2020-02-19,2020-03-19 23:59:59,-0.5548631705394349,2020-02-19 00:00:00,2020-03-19 23:00:00,-0.39164656817620846,-0.9976641556378258,1.8889690495212788,-2.229051106312075,-0.52992440656748,-1.882653720556244,530,0.6083534318237915,-0.22913931001551857,0.006594017259986819,0.00619401725998682,0.0004,,
mean_reversion__ETHUSD__entry_z-2__lookback-96,mean_reversion,ETHUSD,96.0,2.0,worst_market_window_2,worst_market_window,2022-05-17,2022-06-15 23:59:59,-0.484228073174902,2022-05-17 00:00:00,2022-06-15 23:00:00,-0.20862913991235355,-0.9423158616481451,0.9332387529440166,-2.5823255662762645,-0.40884741662346635,-2.304810604969491,528,0.7913708600876465,-0.1164786365818532,0.003477459874055509,0.003177459874055509,0.00030000000000000003,,
mean_reversion__ETHUSD__entry_z-2__lookback-96,mean_reversion,ETHUSD,96.0,2.0,worst_market_window_3,worst_market_window,2021-05-25,2021-06-23 23:59:59,-0.4428575661501081,2021-05-25 00:00:00,2021-06-23 23:00:00,0.06630800496035705,1.1874777569166994,0.8380827149950913,1.3509293596200005,-0.29448806018972873,4.032346018210883,528,1.066308004960357,-0.0540527848220157,0.00494636059832133,0.00449636059832133,0.00045,,
mean_reversion__SPXUSD__entry_z-1p5__lookback-24,mean_reversion,SPXUSD,24.0,1.5,march_2020,fixed_historical,2020-03-01,2020-03-31 23:59:59,,2020-03-01 23:00:00,2020-03-31 23:00:00,0.2560899721301866,15.053791295823544,0.6424216782917396,4.640735773313604,-0.13313336826698952,113.07301461519575,528,1.2560899721301866,-0.03822694385932779,0.005260027004787964,0.002810027004787964,0.0024500000000000004,,
mean_reversion__SPXUSD__entry_z-1p5__lookback-24,mean_reversion,SPXUSD,24.0,1.5,worst_market_window_1,worst_market_window,2020-02-23,2020-03-23 23:59:59,-0.3503283405887997,2020-02-23 23:00:00,2020-03-23 23:00:00,0.19441431434488488,8.370309077567335,0.6221530585397798,3.905889748712272,-0.15634777785299847,53.536476133592885,503,1.1944143143448849,-0.03822694385932779,0.0045196495706480285,0.0023696495706480285,0.00215,,
mean_reversion__SPXUSD__entry_z-1p5__lookback-24,mean_reversion,SPXUSD,24.0,1.5,worst_market_window_2,worst_market_window,2025-03-09,2025-04-07 23:59:59,-0.1827613245672236,2025-03-09 22:00:00,2025-04-07 23:00:00,-0.05840243872979689,-0.5308512866914814,0.2865758457333986,-2.4979010059375404,-0.12606637225695727,-4.210887306326728,489,0.9415975612702031,-0.02591900852199336,0.002905130042633496,0.0008551300426334954,0.00205,,
mean_reversion__SPXUSD__entry_z-1p5__lookback-24,mean_reversion,SPXUSD,24.0,1.5,worst_market_window_3,worst_market_window,2022-09-01,2022-09-30 23:59:59,-0.12867717150918945,2022-09-01 00:00:00,2022-09-30 20:00:00,0.02856531846799637,0.4117411355119376,0.24024001558331304,1.5544791736903896,-0.04270245878653689,9.64209432459543,501,1.0285653184679964,-0.009016218663704278,0.003800170314343098,0.0017001703143430978,0.0021000000000000003,,
mean_reversion__SPXUSD__entry_z-1p5__lookback-48,mean_reversion,SPXUSD,48.0,1.5,march_2020,fixed_historical,2020-03-01,2020-03-31 23:59:59,,2020-03-01 23:00:00,2020-03-31 23:00:00,0.1553469924284714,4.801281429716042,0.6722016641245121,2.9503409033444976,-0.1645441714794904,29.179285942161112,528,1.1553469924284714,-0.041524296847385234,0.002698193481160429,0.0014481934811604292,0.00125,,
